state	year	county	precinct	g2012_USP_rv	g2012_USP_dv	g2012_USS_rv	g2012_USS_dv	g2012_USH_rv	g2012_USH_dv	g2012_USP_tv	g2012_USS_tv	g2012_USH_tv
"WY"	2012	"Lincoln"	"Thayne Town Hall 2-8"	420	42	425	35	407	36	470	467	465
"WY"	2012	"Lincoln"	"Cokeville Town Hall 2-9"	369	19	351	25	334	29	393	384	381
"WY"	2012	"Lincoln"	"Star Valley Ranch Town Hall 2-10"	736	248	746	211	704	217	1000	974	971
"WY"	2012	"Natrona"	"Roosevelt School 1-1"	287	254	350	199	287	217	578	571	569
"WY"	2012	"Natrona"	"Natrona County Library 1-2"	281	235	332	179	267	197	548	533	518
"WY"	2012	"Natrona"	"Dean Morgan Junior High School 1-3"	462	338	536	255	444	281	839	823	813
"WY"	2012	"Natrona"	"Casper College 1-4"	500	309	577	216	479	253	849	817	812
"WY"	2012	"Natrona"	"Jefferson School 1-5"	296	233	349	178	298	204	560	548	543
"WY"	2012	"Natrona"	"Grant School 1-6"	764	343	858	255	702	314	1164	1149	1128
"WY"	2012	"Natrona"	"Senior Citizens' Center 1-7"	298	195	352	146	279	178	518	513	503
"WY"	2012	"Natrona"	"7th Day Adventist School 1-9"	744	203	796	150	699	194	981	963	953
"WY"	2012	"Natrona"	"Crest Hill School 1-11"	466	190	513	138	451	156	683	662	655
"WY"	2012	"Natrona"	"Willard School 1-12"	216	126	243	105	210	107	367	358	352
"WY"	2012	"Natrona"	"Westwood School 2-1"	497	330	598	231	481	290	868	852	843
"WY"	2012	"Natrona"	"Cottonwood School 2-2"	396	295	460	243	376	265	741	730	719
"WY"	2012	"Natrona"	"Old CY Junior High School 2-3"	409	179	469	127	396	160	622	616	604
"WY"	2012	"Natrona"	"Southridge School 2-4"	364	218	402	168	340	202	605	588	585
"WY"	2012	"Natrona"	"Casper Shrine Club 2-6"	903	281	966	193	869	230	1213	1190	1170
"WY"	2012	"Natrona"	"Paradise Valley School 2-7"	994	309	1090	200	908	288	1340	1326	1299
"WY"	2012	"Natrona"	"Oregon Trail School 2-8"	943	303	1026	209	866	280	1289	1273	1256
"WY"	2012	"Natrona"	"Shepherd of the Valley Care Center 2-9"	482	188	559	127	467	163	704	700	684
"WY"	2012	"Natrona"	"Bethel Baptist Church 2-10"	749	265	810	189	717	240	1042	1020	1008
"WY"	2012	"Natrona"	"University Park School 3-2"	493	299	581	210	477	261	840	831	822
"WY"	2012	"Natrona"	"Pineview School 3-3"	590	337	673	248	557	289	973	956	939
"WY"	2012	"Natrona"	"Sagewood School 3-4"	825	311	908	233	780	285	1179	1173	1168
"WY"	2012	"Natrona"	"Kelly Walsh High School 3-5"	576	207	618	151	541	184	801	784	779
"WY"	2012	"Natrona"	"Manor Heights School 3-6"	617	185	655	140	585	173	818	807	796
"WY"	2012	"Natrona"	"Prince of Peace Lutheran Church 3-8"	896	438	1045	308	868	384	1412	1389	1370
"WY"	2012	"Natrona"	"Verda James School 3-9"	441	213	487	162	412	189	678	669	652
"WY"	2012	"Natrona"	"Centennial Junior High School 3-10"	1583	439	1710	272	1480	372	2066	2019	1979
"WY"	2012	"Natrona"	"Evansville School 4-1"	504	238	569	181	472	213	777	772	755
"WY"	2012	"Natrona"	"Evansville Community Center 4-2"	756	146	798	108	710	122	942	936	924
"WY"	2012	"Natrona"	"Hat Six Ranch 5-1"	70	15	70	13	61	13	86	85	81
"WY"	2012	"Natrona"	"Midwest Town Hall 7-1"	117	34	121	24	109	23	154	151	147
"WY"	2012	"Natrona"	"Edgerton Town Hall 7-2"	91	12	95	7	82	8	105	104	102
"WY"	2012	"Natrona"	"Mills Community Center 8-1"	695	321	787	240	662	272	1084	1081	1059
"WY"	2012	"Natrona"	"Mountain View School 8-2"	187	77	189	73	173	70	274	272	269
"WY"	2012	"Natrona"	"Wardwell Water & Sewer 8-3"	385	102	404	78	352	79	507	508	496
"WY"	2012	"Natrona"	"Christian Church of Casper 8-4"	778	175	812	131	722	158	980	971	964
"WY"	2012	"Natrona"	"Bar Nunn School 8-5"	703	181	758	122	640	155	911	905	886
"WY"	2012	"Natrona"	"WY Game and Fish 9-1"	832	231	886	168	782	208	1089	1070	1057
"WY"	2012	"Natrona"	"Red Creek School 11-1"	91	11	92	8	85	13	102	100	100
"WY"	2012	"Natrona"	"Alcova School 11-2"	110	24	117	19	105	19	141	140	138
"WY"	2012	"Natrona"	"Fish Hatchery 11-3"	191	53	193	40	165	53	254	248	242
"WY"	2012	"Natrona"	"Poison Spider School 11-4"	90	11	91	7	83	7	103	103	100
"WY"	2012	"Natrona"	"St. Stephen's Church 12-2"	280	92	304	67	269	72	384	380	370
"WY"	2012	"Natrona"	"Bressler Ranch 13-1"	99	10	100	8	95	8	113	113	112
"WY"	2012	"Natrona"	"Powder River School 13-2"	57	5	58	7	55	6	65	65	65
"WY"	2012	"Natrona"	"Upper Willow Creek 14-1"	24	0	24	0	24	0	24	24	24
"WY"	2012	"Niobrara"	"Warren - Rennard's Garage 1-2"	60	0	60	0	58	0	60	60	60
"WY"	2012	"Niobrara"	"Hat Creek - Stage Station 3-2"	58	2	63	0	59	0	64	63	63
"WY"	2012	"Niobrara"	"Lance Creek Elementary School 4-1"	88	1	88	2	83	1	92	92	91
"WY"	2012	"Niobrara"	"N. Lusk - First Baptist Church 6-1"	280	63	305	42	287	37	366	361	355
"WY"	2012	"Niobrara"	"S. Lusk - Congregational Church of Lusk 6-2"	400	122	449	77	398	77	542	536	525
"WY"	2012	"Niobrara"	"Manville Town Hall 7-1"	136	12	145	3	131	6	152	152	146
"WY"	2012	"Park"	"Clark/Pioneer Recreation Center 1-1"	240	44	234	35	225	37	295	285	286
"WY"	2012	"Park"	"Cody Auditorium 2-1"	725	140	765	98	714	117	891	876	871
"WY"	2012	"Park"	"Cody Auditorium 2-2"	614	180	653	130	605	137	820	800	786
"WY"	2012	"Park"	"Cody Armory 3-1"	574	126	594	92	549	101	713	705	686
"WY"	2012	"Park"	"Cody Armory 3-2"	794	158	820	118	781	119	976	958	946
"WY"	2012	"Park"	"Southfork Fire Hall 4-1"	887	193	911	153	826	178	1104	1093	1079
"WY"	2012	"Park"	"Cody Armory 4-2"	165	26	169	16	157	14	195	194	193
"WY"	2012	"Park"	"Garland Community Church 6-1"	424	71	447	39	402	51	503	496	487
"WY"	2012	"Park"	"Park County Courthouse 7-2"	54	9	58	6	50	6	65	64	60
"WY"	2012	"Park"	"Episcopal Church 8-1"	108	15	111	10	104	10	124	123	120
"WY"	2012	"Park"	"Meeteetse Senior Center 8-2"	164	39	180	27	163	33	213	214	209
"WY"	2012	"Park"	"Meeteetse Episcopal Church 8-3"	136	18	137	13	129	16	159	157	156
"WY"	2012	"Park"	"Fairgrounds Sm. Exhibit Hall 9-1"	291	132	306	109	277	109	455	431	423
"WY"	2012	"Park"	"Fairgrounds Sm. Exhibit Hall 9-2"	248	77	265	53	239	56	332	324	320
"WY"	2012	"Park"	"Fairgrounds Sm. Exhibit Hall 9-4"	376	144	405	105	374	115	536	520	514
"WY"	2012	"Park"	"Fairgrounds Sm. Exhibit Hall 9-5"	333	102	364	73	327	90	451	449	445
"WY"	2012	"Park"	"Fairgrounds Sm. Exhibit Hall 9-7"	586	208	638	153	564	176	831	820	808
"WY"	2012	"Park"	"Fairgrounds Multi-Purp. Bldg. 10-1"	400	75	415	54	372	60	490	484	466
"WY"	2012	"Park"	"Fairgrounds Multi-Purp. Bldg. 10-2"	617	130	654	90	611	97	771	762	750
"WY"	2012	"Park"	"Park County Courthouse 11-2"	67	17	69	12	66	14	84	83	81
"WY"	2012	"Park"	"Wapiti School House 16-1"	426	164	431	149	400	154	602	593	583
"WY"	2012	"Park"	"Mountain View Club 21-1"	501	93	510	74	465	80	610	601	589
"WY"	2012	"Park"	"Fairgrounds Multi-Purpose Bldg. 23-1"	219	26	220	17	207	18	253	248	251
"WY"	2012	"Park"	"Cody Auditorium 24-1"	494	198	507	163	484	162	723	704	699
"WY"	2012	"Park"	"Cody Auditorium 24-2"	370	125	400	94	369	107	512	501	499
"WY"	2012	"Park"	"Cody Auditorium 24-3"	155	44	168	34	157	34	207	207	205
"WY"	2012	"Park"	"Cody Auditorium 25-1"	478	181	525	130	485	140	686	673	666
"WY"	2012	"Park"	"Cody Auditorium 25-2"	370	89	385	63	369	67	470	462	453
"WY"	2012	"Park"	"Cody Auditorium 25-3"	418	103	448	73	414	77	537	530	515
"WY"	2012	"Platte"	"FSB Conference Center 1-1"	232	106	276	72	249	79	354	357	353
"WY"	2012	"Platte"	"FSB Conference Center 1-2"	248	104	261	78	243	77	359	354	350
"WY"	2012	"Platte"	"FSB Conference Center 1-3"	395	163	439	117	383	124	577	576	570
"WY"	2012	"Platte"	"FSB Conference Center 1-4"	254	131	294	94	257	96	400	400	394
"WY"	2012	"Platte"	"4-H Building 1-6"	416	114	429	97	396	102	552	547	539
"WY"	2012	"Platte"	"Guernsey Sunrise School 2-1"	344	274	412	201	346	219	652	645	637
"WY"	2012	"Platte"	"Guernsey Sunrise School 3-1"	47	35	52	23	49	25	87	80	85
"WY"	2012	"Platte"	"Glendo Fire Hall 6-1"	154	70	171	46	155	53	234	226	225
"WY"	2012	"Platte"	"Glendo Fire Hall 6-2"	113	26	113	23	105	23	143	140	136
"WY"	2012	"Platte"	"Chugwater Community Center 9-1"	63	23	67	17	63	19	88	88	85
"WY"	2012	"Platte"	"Chugwater Community Center 10-1"	141	34	154	27	138	29	185	185	183
"WY"	2012	"Platte"	"4-H Building 12-1"	455	86	466	61	419	74	556	548	538
"WY"	2012	"Platte"	"4-H Building 20-1"	274	57	286	49	259	49	344	344	340
"WY"	2012	"Sheridan"	"Ed Hammer Inc. 1-1"	310	142	345	111	302	130	472	463	459
"WY"	2012	"Sheridan"	"Fairgrounds Exhibit Hall 2-1"	371	143	411	108	370	122	529	527	516
"WY"	2012	"Sheridan"	"Sheridan Senior Citizens Center 2-2"	277	141	326	97	289	122	433	430	432
"WY"	2012	"Sheridan"	"Fairgrounds Exhibit Hall 2-3"	675	226	736	171	675	198	927	921	906
"WY"	2012	"Sheridan"	"Sheridan Senior Citizens Center 2-4"	466	199	505	152	468	163	681	670	658
"WY"	2012	"Sheridan"	"Fairgrounds Exhibit Hall 2-5"	765	264	842	179	769	220	1049	1032	1019
"WY"	2012	"Sheridan"	"Sheridan County Courthouse 3-2"	196	152	231	119	203	133	365	358	356
"WY"	2012	"Sheridan"	"Holy Name Church 3-3"	208	93	227	65	209	75	303	295	299
"WY"	2012	"Sheridan"	"Bethesda Worship 3-4"	506	205	575	152	525	176	744	739	732
"WY"	2012	"Sheridan"	"Calvary Baptist Church 3-5"	598	207	648	149	608	166	823	812	807
"WY"	2012	"Sheridan"	"Water Products Inc. 4-2"	487	244	563	175	522	191	768	754	753
"WY"	2012	"Sheridan"	"Holy Name Church 4-3"	528	186	584	143	525	163	759	749	742
"WY"	2012	"Sheridan"	"Holy Name Church 4-4"	134	52	145	43	128	47	193	191	186
"WY"	2012	"Sheridan"	"Tourist Information Center 5-1"	144	38	150	35	143	35	186	185	185
"WY"	2012	"Sheridan"	"Old Woodland Park School 6-1"	483	123	518	89	471	116	620	615	611
"WY"	2012	"Sheridan"	"Beckton School 7-1"	226	76	248	52	225	58	310	305	302
"WY"	2012	"Sheridan"	"Story Women's Club 8-1"	411	154	425	142	395	145	584	577	568
"WY"	2012	"Sheridan"	"Powder River Community Center 9-1"	57	6	59	4	51	8	64	65	65
"WY"	2012	"Sheridan"	"Clearmont Town Hall 10-1"	131	22	143	15	140	16	159	161	162
"WY"	2012	"Sheridan"	"Old Woodland Park School 11-1"	566	195	632	138	553	181	782	778	771
"WY"	2012	"Sheridan"	"Big Horn Women's Club 12-1"	1019	299	1062	245	1001	265	1351	1327	1321
"WY"	2012	"Sheridan"	"Fairgrounds Exhibit Hall 13-1"	318	108	330	94	299	112	435	433	430
"WY"	2012	"Sheridan"	"Wyarno Fire Hall 16-1"	197	28	212	19	192	29	233	234	232
"WY"	2012	"Sheridan"	"Ranchester Town Hall 17-1"	295	75	309	64	288	66	381	378	376
"WY"	2012	"Sheridan"	"Ranchester Town Hall 17-2"	228	56	234	57	212	68	294	294	290
"WY"	2012	"Sheridan"	"Ranchester Town Hall 18-1"	45	12	48	10	46	10	59	58	58
"WY"	2012	"Sheridan"	"Prarie Dog Community Center 19-1"	207	49	219	36	193	46	260	258	254
"WY"	2012	"Sheridan"	"Dayton Town Hall 20-1"	309	98	337	72	308	86	420	418	416
"WY"	2012	"Sheridan"	"Dayton Town Hall 20-2"	110	25	110	21	106	25	138	134	136
"WY"	2012	"Sublette"	"Wrangler Gym 1-1"	671	243	723	184	635	216	944	928	909
"WY"	2012	"Sublette"	"Wrangler Gym 1-3"	719	170	753	128	701	145	916	900	897
"WY"	2012	"Sublette"	"Boulder Community Center 1-4"	458	80	481	57	440	66	566	550	541
"WY"	2012	"Sublette"	"Marbleton Senior Center 2-1"	653	72	679	43	632	67	743	736	737
"WY"	2012	"Sublette"	"Marbleton Senior Center 2-2"	346	38	355	23	323	31	394	393	386
"WY"	2012	"Sublette"	"Kendall Valley Fire Hall 4-1"	276	65	279	57	260	64	352	348	344
"WY"	2012	"Sublette"	"Daniel School House 4-2"	210	48	222	36	200	44	268	263	259
"WY"	2012	"Sublette"	"Bondurant Elementary School 5-1"	139	51	139	48	128	54	193	192	189
"WY"	2012	"Sweetwater"	"Granger Town Hall 1-1"	69	13	74	10	63	11	87	87	85
"WY"	2012	"Sweetwater"	"RS 1st United Methodist Church 3-2"	677	363	757	268	631	306	1082	1059	1034
"WY"	2012	"Sweetwater"	"RS 1st United Methodist Church 3-3"	211	86	221	73	192	80	305	297	292
"WY"	2012	"Sweetwater"	"RS North Side Parish Center 3-4"	70	64	82	57	72	54	144	141	141
"WY"	2012	"Sweetwater"	"RS County Office Building 3-5"	220	147	254	117	198	138	387	381	378
"WY"	2012	"Sweetwater"	"RS South Side Parish Center 4-1"	254	162	289	123	237	148	438	435	425
"WY"	2012	"Sweetwater"	"RS White Mountain Library 4-2"	291	117	295	100	260	102	424	407	397
"WY"	2012	"Sweetwater"	"RS Sweetwater County Garage 4-3"	243	101	259	77	219	81	355	345	342
"WY"	2012	"Sweetwater"	"RS 1st Congregational Church 4-4"	503	280	572	205	469	242	822	809	789
"WY"	2012	"Sweetwater"	"RS Fire Station #1 5-1"	167	88	183	74	155	74	263	262	256
"WY"	2012	"Sweetwater"	"RS Western WY Comm. College 5-2"	1119	358	1184	287	1038	317	1540	1504	1473
"WY"	2012	"Sweetwater"	"RS School Administration Bldg. 5-3"	555	228	601	194	505	231	822	805	798
"WY"	2012	"Sweetwater"	"RS School Administration Bldg. 5-4"	354	126	398	85	318	128	491	490	480
"WY"	2012	"Sweetwater"	"RS White Mountain Library 5-5"	260	121	290	97	234	106	408	399	388
"WY"	2012	"Sweetwater"	"RS Civic Center 6-1"	356	191	414	143	332	170	581	574	556
"WY"	2012	"Sweetwater"	"RS County Events Complex  6-2"	400	155	418	123	351	158	573	559	555
"WY"	2012	"Sweetwater"	"RS Western WY Comm. College 6-3"	278	102	286	92	262	100	394	388	382
"WY"	2012	"Sweetwater"	"RS County Events Complex 6-4"	98	29	101	22	88	31	130	125	123
"WY"	2012	"Sweetwater"	"RS County Events Complex 7-1"	661	145	677	117	603	134	827	816	803
"WY"	2012	"Sweetwater"	"RS County Events Complex 7-2"	146	19	147	16	129	19	170	170	163
"WY"	2012	"Sweetwater"	"Jamestown - K-Motive Building 9-1"	137	38	141	37	119	38	185	184	175
"WY"	2012	"Sweetwater"	"Jamestown - K-Motive Building 9-2"	68	9	65	11	52	16	80	80	78
"WY"	2012	"Sweetwater"	"GR Sweetwater County Library 10-1"	326	262	370	235	286	253	628	629	618
"WY"	2012	"Sweetwater"	"GR Lincoln Middle School 10-2"	155	115	184	83	146	97	281	276	270
"WY"	2012	"Sweetwater"	"GR Lincoln Middle School 10-3"	459	197	505	159	445	177	683	686	678
"WY"	2012	"Sweetwater"	"GR Recreation Center 10-4"	1319	500	1442	366	1240	445	1890	1853	1816
"WY"	2012	"Sweetwater"	"GR Mansface Church 10-5"	322	152	366	119	322	133	490	492	485
"WY"	2012	"Sweetwater"	"GR Truman School 10-6"	437	250	482	207	418	223	726	706	695
"WY"	2012	"Sweetwater"	"GR Mansface Church 10-7"	394	162	432	130	367	150	577	577	558
"WY"	2012	"Sweetwater"	"Reliance Fire Station 12-1"	170	69	188	49	150	58	250	243	238
"WY"	2012	"Sweetwater"	"Fon Slagowski's Residence/Washam 13-1"	28	2	29	4	27	3	30	33	31
"WY"	2012	"Sweetwater"	"Superior Administration Building 19-1"	103	47	113	33	89	41	157	157	154
"WY"	2012	"Sweetwater"	"Farson Community Hall 20-1"	312	24	315	16	288	28	341	335	332
"WY"	2012	"Sweetwater"	"Point of Rocks Roger Varley Res 21-1"	28	9	26	9	22	8	39	36	34
"WY"	2012	"Sweetwater"	"Wamsutter Town Hall 23-1"	118	33	122	27	99	31	159	155	155
"WY"	2012	"Sweetwater"	"McKinnon School 24-1"	69	3	66	5	59	3	75	73	71
"WY"	2012	"Sweetwater"	"Bairoil Town Hall 25-1"	51	7	51	8	47	3	61	61	61
"WY"	2012	"Teton"	"TC Emergency Operations Center 1-1"	513	515	602	399	511	437	1060	1027	1012
"WY"	2012	"Teton"	"Recreation Center 1-2"	261	578	329	480	267	473	873	830	816
"WY"	2012	"Teton"	"National Museum of Wildlife Art 1-3"	268	244	289	220	252	226	529	514	504
"WY"	2012	"Teton"	"Recreation Center 1-4"	97	86	112	63	95	66	190	180	171
"WY"	2012	"Teton"	"Fair Building 1-5"	323	582	371	482	302	502	937	874	866
"WY"	2012	"Teton"	"Presbyterian Church 1-6"	308	401	353	327	304	333	736	709	702
"WY"	2012	"Teton"	"Chapel at River Crossing 1-7"	273	419	323	350	274	371	715	687	679
"WY"	2012	"Teton"	"Jackson Senior Center 1-8"	273	509	327	410	263	426	811	754	758
"WY"	2012	"Teton"	"Fair Building 1-9"	225	479	282	381	227	385	732	687	676
"WY"	2012	"Teton"	"TC Weed and Pest 1-10"	430	295	479	233	418	236	755	730	722
"WY"	2012	"Teton"	"Presbyterian Church 1-11"	59	86	67	68	57	74	147	139	141
"WY"	2012	"Teton"	"National Museum of Wildlife Art 2-1"	506	355	546	312	492	327	891	872	863
"WY"	2012	"Teton"	"Moran School 3-1"	152	146	161	137	150	134	311	303	301
"WY"	2012	"Teton"	"Old Wilson School Community Center 4-1"	248	392	293	334	237	343	660	637	620
"WY"	2012	"Teton"	"Wilson Fire Station #6 4-2"	463	525	514	439	458	440	1021	977	953
"WY"	2012	"Teton"	"Old Wilson School Community Center 4-3"	159	353	192	301	153	311	527	508	499
"WY"	2012	"Teton"	"Teton Village Fire House 4-4"	142	144	161	110	137	123	298	282	282
"WY"	2012	"Teton"	"Alta School 5-1"	158	104	161	94	152	94	271	259	257
"WY"	2012	"Uinta"	"Machine Shop 1-1"	1205	365	1232	302	1097	326	1632	1581	1554
"WY"	2012	"Uinta"	"Evanston Middle School 1-2"	1338	372	1400	308	1267	341	1754	1730	1709
"WY"	2012	"Uinta"	"Roundhouse 1-3"	565	154	591	122	517	140	761	744	741
"WY"	2012	"Uinta"	"Roundhouse 1-4"	229	107	226	109	191	106	355	351	341
"WY"	2012	"Uinta"	"Evanston Library 2-1"	752	97	753	87	693	101	879	864	850
"WY"	2012	"Uinta"	"Bear River Town Hall 2-2"	228	48	227	37	210	41	277	275	270
"WY"	2012	"Uinta"	"Lyman Town Hall Chambers 3-1"	728	165	726	144	655	156	922	900	890
"WY"	2012	"Uinta"	"Lyman Library 3-2"	428	53	430	59	389	66	502	497	493
"WY"	2012	"Uinta"	"Mt. View School Administration Building 4-1"	703	149	728	109	660	126	878	869	858
"WY"	2012	"Uinta"	"Mt. View Town Hall 4-2"	439	118	467	88	398	109	579	572	555
"WY"	2012	"Washakie"	"Ten Sleep Senior Center 3-1"	387	61	415	50	381	53	468	472	465
"WY"	2012	"Washakie"	"Worland Community Center Complex 5-1"	646	189	717	126	635	147	869	858	836
"WY"	2012	"Washakie"	"Worland Community Center Complex 5-2"	668	220	765	140	690	167	924	921	904
"WY"	2012	"Washakie"	"Worland Community Center Complex 5-3"	405	140	457	91	397	114	566	564	555
"WY"	2012	"Washakie"	"Worland Community Center Complex 5-5"	908	184	967	122	892	132	1117	1109	1096
"WY"	2012	"Weston"	"Newcastle - State Forestry Building 1-1"	538	65	538	59	514	57	620	614	610
"WY"	2012	"Weston"	"Newcastle - State Forestry Building 1-2"	391	49	395	41	365	45	450	447	442
"WY"	2012	"Weston"	"Osage - Kitty Moats 2-1"	150	14	139	16	135	8	175	175	172
"WY"	2012	"Weston"	"Upton Community Center 3-1"	208	11	203	13	190	13	223	221	217
"WY"	2012	"Weston"	"Upton Community Center 4-1"	419	61	439	43	396	58	495	489	484
"WY"	2012	"Weston"	"Newcastle - State Forestry Building 5-1"	368	56	380	47	352	48	443	441	435
"WY"	2012	"Weston"	"Newcastle - State Forestry Building 5-2"	362	84	386	60	358	66	470	472	467
"WY"	2012	"Weston"	"Newcastle - State Forestry Building 5-3"	385	82	407	57	360	65	483	487	475
