state	year	county	precinct	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USH_rv	g2012_USH_dv	g2012_USH_tv
"SD"	2012	"Grant"	"Stockholm Town & Twp (Stockholm Community Center)"	32	52	88	44	42	86
"SD"	2012	"Grant"	"Troy-Strandburg (American Legion Post #171 Meeting Room)"	23	24	49	31	18	49
"SD"	2012	"Grant"	"Twin Brooks-Kilborn (Twin Brooks Community Room)"	69	83	155	80	73	153
"SD"	2012	"Gregory"	"#1 (Gregory Memorial Auditorium)"	267	679	972	636	342	978
"SD"	2012	"Gregory"	"#2 (Burke Civic Center)"	233	552	800	523	276	799
"SD"	2012	"Gregory"	"#3 (Bonesteel Comunity Room)"	99	276	379	272	109	381
"SD"	2012	"Haakon"	"Deadman (Courthouse Community Room)"	31	183	217	172	45	217
"SD"	2012	"Haakon"	"Kirley (Deep Creek Church)"	10	103	114	101	13	114
"SD"	2012	"Haakon"	"Lake Waggoner (Bad River Senior Citizens Center)"	29	169	204	164	41	205
"SD"	2012	"Haakon"	"Midland (Midland Fire Hall)"	23	197	222	190	30	220
"SD"	2012	"Haakon"	"Milesville (Milesville Hall)"	9	126	136	121	15	136
"SD"	2012	"Haakon"	"South Fork (Courthouse Community Room)"	36	162	199	162	38	200
"SD"	2012	"Hamlin"	"Bryant (Bryant City Auditorium)"	93	203	305	201	99	300
"SD"	2012	"Hamlin"	"Castlewood (Castlewood Fire Hall)"	261	395	670	419	255	674
"SD"	2012	"Hamlin"	"Estelline (Estelline community center)"	239	253	508	269	247	516
"SD"	2012	"Hamlin"	"Hayti (Hayti Fire Hall)"	96	319	428	324	95	419
"SD"	2012	"Hamlin"	"Hazel (Hazel Fire Hall)"	26	108	136	113	21	134
"SD"	2012	"Hamlin"	"Norden (Lake Norden Firehall)"	168	417	598	434	163	597
"SD"	2012	"Hamlin"	"Oxford (Oxford Township Hall)"	38	108	148	111	37	148
"SD"	2012	"Hand"	"01 (Including: 03) (Polo School)"	32	181	216	160	58	218
"SD"	2012	"Hand"	"02 (St. Mary's Hall)"	28	61	90	61	30	91
"SD"	2012	"Hand"	"04 (Holden Hall)"	9	46	56	43	14	57
"SD"	2012	"Hand"	"05 (Including: 08) (Ree Heights American Legion)"	37	107	152	105	48	153
"SD"	2012	"Hand"	"06 (St. Lawrence Fire Hall)"	70	86	159	96	66	162
"SD"	2012	"Hand"	"07 (Clair Bonebright Residence)"	44	74	119	67	54	121
"SD"	2012	"Hand"	"09 (Including: 10) (Sunshine Bible Academy)"	20	127	148	124	24	148
"SD"	2012	"Hand"	"11 (Methodist Church)"	169	263	438	261	176	437
"SD"	2012	"Hand"	"12 (Hand County courthouse)"	166	297	470	290	182	472
"SD"	2012	"Hanson"	"#1 - Emery Fire Hall (Emery Fire Hall)"	417	855	1283	800	389	1189
"SD"	2012	"Hanson"	"#2 - Alex City Hall (Alexandria City Hall)"	158	224	386	228	173	401
"SD"	2012	"Hanson"	"#3 - Fulton Community Hall (Fulton Community Hall)"	96	178	282	176	108	284
"SD"	2012	"Hanson"	"#4 - Fulton Community Hall (Fulton Community Hall)"	52	222	278	217	64	281
"SD"	2012	"Hanson"	"#5 - Hanson County Courthouse (Hanson County Courthouse)"	37	148	187	152	41	193
"SD"	2012	"Harding"	"Buffalo (Harding County Memorial REC)"	25	121	152	124	25	149
"SD"	2012	"Harding"	"Camp Crook (Camp Crook Area Community Center)"	20	98	125	101	22	123
"SD"	2012	"Harding"	"Fillmore (Ralph Lutheran Church)"	9	45	55	45	8	53
"SD"	2012	"Harding"	"Hilton (Harding County Memorial REC)"	13	93	109	89	19	108
"SD"	2012	"Harding"	"Ladner (Ladner Lutheran Church)"	2	39	41	39	1	40
"SD"	2012	"Harding"	"Ludlow (Ludlow Hall)"	9	68	78	71	10	81
"SD"	2012	"Harding"	"Poplar Grove (Harding County Memorial REC)"	1	58	59	58	1	59
"SD"	2012	"Harding"	"Reva (Reva Hall)"	3	116	120	115	4	119
"SD"	2012	"Hughes"	"#11-Rural New Life Assembly Chu (#11-Rural New Life Assembly of God Church)"	315	854	1193	824	370	1194
"SD"	2012	"Hughes"	"#21-Pierre No. 1 Fire Station (#21-Pierre No. 1 Fire Station)"	199	282	493	274	217	491
"SD"	2012	"Hughes"	"#23-Pierre PILC Rec Center (#23-Pierre PILC Rec Center)"	210	312	532	301	233	534
"SD"	2012	"Hughes"	"#24-Pierre Buchanan School (#24-Pierre Buchanan School)"	253	391	665	395	271	666
"SD"	2012	"Hughes"	"#26-Pierre Riggs Theater (#26-Pierre Riggs Theater)"	215	366	596	372	224	596
"SD"	2012	"Hughes"	"#28-Pierre Courthouse (#28-Pierre Courthouse)"	238	367	621	343	272	615
"SD"	2012	"Hughes"	"#29-Pierre Senior Citizen's Cen (#29-Pierre Senior Citizen's Center)"	136	191	332	178	149	327
"SD"	2012	"Hughes"	"#30-Pierre Faith Lutheran Churc (#30-Pierre Faith Lutheran Church)"	262	384	653	358	292	650
"SD"	2012	"Hughes"	"#31-Pierre Poplar Ave Fire Stat (#31-Pierre Poplar Avenue Fire Station)"	263	544	815	507	299	806
"SD"	2012	"Hughes"	"#32-Pierre 7th Day Adv Church (#32-Pierre 7th Day Adventist Church)"	173	341	516	320	192	512
"SD"	2012	"Hughes"	"#33-Pierre Resurrection Church (#33-Pierre Resurrection Lutheran Church)"	160	360	529	338	188	526
"SD"	2012	"Hughes"	"#34-Pierre No. 4 Fire Station (#34-Pierre No. 4 Fire Station)"	231	498	740	494	249	743
"SD"	2012	"Hughes"	"#5-Blunt City Hall (#5-Blunt City Hall)"	55	177	236	174	62	236
"SD"	2012	"Hughes"	"#7-Harrold Fire Hall (#7-Harrold City Auditorium)"	16	113	133	113	20	133
"SD"	2012	"Hughes"	"#9-Hyde (#9-Hyde Residence)"	60	39	101	49	52	101
"SD"	2012	"Hutchinson"	"#1 (Menno Fire Hall)"	180	540	729	525	210	735
"SD"	2012	"Hutchinson"	"#2 (Old Library)"	202	558	769	544	218	762
"SD"	2012	"Hutchinson"	"#3 (Clayton Township Hall)"	25	120	150	121	29	150
"SD"	2012	"Hutchinson"	"#4 (St. Peter & Paul Parrish Hall)"	131	317	457	304	160	464
"SD"	2012	"Hutchinson"	"#5 (Parkston American Legion Hall)"	246	419	676	418	271	689
"SD"	2012	"Hutchinson"	"#6 (Tripp American Legion)"	109	340	453	331	125	456
"SD"	2012	"Hutchinson"	"#7 (Courthouse Conference Room)"	30	157	191	148	41	189
"SD"	2012	"Hyde"	"#1 (Including: #2, #3) (Hyde County Memorial Auditorium - Main Arena)"	157	435	604	411	194	605
"SD"	2012	"Hyde"	"Absentee Precinct"	32	96	129	91	31	122
"SD"	2012	"Jackson"	"01 Cottonwood (Cottonwood Range Field Station)"	2	33	36	34	2	36
"SD"	2012	"Jackson"	"02 Interior (Interior School)"	34	78	112	80	32	112
"SD"	2012	"Jackson"	"03 Kadoka (Jackson County Courthouse)"	53	215	269	205	60	265
"SD"	2012	"Jackson"	"04 Kadoka  (Jackson County Courthouse)"	43	108	154	106	46	152
"SD"	2012	"Jackson"	"05 Belvidere (Belvidere Fellowship Hall)"	8	69	81	69	9	78
"SD"	2012	"Jackson"	"06 Long Valley (Long Valley School)"	32	73	107	72	37	109
"SD"	2012	"Jackson"	"07 Wanblee (Crazy Horse School)"	223	48	278	72	199	271
"SD"	2012	"Jackson"	"08 Green Valley (Green Valley Fire Hall)"	31	37	69	36	30	66
"SD"	2012	"Jerauld"	"1 (Jerauld County 4-H Building)"	245	257	509	265	245	510
"SD"	2012	"Jerauld"	"2 (Jerauld County 4-H Building)"	62	88	150	89	61	150
"SD"	2012	"Jerauld"	"3 (Alpena Community Center)"	68	65	134	80	57	137
"SD"	2012	"Jerauld"	"4  (Ed and Donna Gray Garage)"	40	61	105	62	43	105
"SD"	2012	"Jerauld"	"5 (Larry Powell's Shop)"	37	67	108	68	39	107
"SD"	2012	"Jones"	"#1 (Murdo Auditorium)"	29	179	210	169	40	209
"SD"	2012	"Jones"	"#3 (Murdo Auditorium)"	47	155	208	159	52	211
"SD"	2012	"Jones"	"#5 (Draper Town Hall)"	32	156	191	151	44	195
"SD"	2012	"Kingsbury"	"Arlington Precinct (Arlington City Hall)"	262	287	567	277	288	565
"SD"	2012	"Kingsbury"	"Badger Precinct (Badger American Legion Hall)"	123	153	285	155	121	276
"SD"	2012	"Kingsbury"	"DeSmet Precinct (Kingsbury County 4-H Building)"	369	497	884	511	373	884
"SD"	2012	"Kingsbury"	"Iroquois Precinct (Iroquois Fire Hall)"	87	123	219	130	89	219
"SD"	2012	"Kingsbury"	"Lake Preston Precinct (Lake Preston Community Room)"	175	248	430	251	173	424
"SD"	2012	"Kingsbury"	"Oldham Precinct (Oldham School Gym)"	76	143	223	134	88	222
"SD"	2012	"Lake"	"Chester (Including: Franklin) (Chester Fire Hall)"	208	248	467	236	231	467
"SD"	2012	"Lake"	"Concord (Including: Badus, Ramona Village, Wayne) (Parish Hall)"	93	152	252	149	100	249
"SD"	2012	"Lake"	"Farmington (Including: Clarno, Leroy, Orland) (Dakota Prairie Playhouse)"	117	217	348	216	124	340
"SD"	2012	"Lake"	"Herman (Including: Winfred) (Dakota Prairie Playhouse)"	196	212	415	209	205	414
"SD"	2012	"Lake"	"Lakeview (Dakota Prairie Playhouse)"	155	303	460	271	186	457
"SD"	2012	"Lake"	"Nunda (Including: Nunda Village, Summit) (Nunda Fire Hall)"	50	106	164	104	59	163
"SD"	2012	"Lake"	"Ward 1 Precinct 1 (Including: Ward 1 Precinct 2, Ward 1 Precinct 3, Ward 1 Precinct 4) (Dakota Prairie Playhouse)"	983	1277	2300	1221	989	2210
"SD"	2012	"Lake"	"Ward 2 Precinct 1 (Including: Ward 2 Precinct 2, Ward 2 Precinct 3) (Dakota Prairie Playhouse)"	404	349	779	322	452	774
"SD"	2012	"Lake"	"Ward 3 Precinct 1 (Including: Ward 3 Precinct 2, Ward 3 Precinct 3) (Dakota Prairie Playhouse)"	351	292	664	283	384	667
"SD"	2012	"Lake"	"Wentworth (Including: Rutland, Wentworth Village) (Wentworth Fire Hall)"	167	263	436	258	186	444
"SD"	2012	"Lawrence"	"Absentee Precinct"	1485	2689	4268	2594	1641	4235
"SD"	2012	"Lawrence"	"Deadwood (Lawrence County Administrative Annex)"	198	186	405	195	203	398
"SD"	2012	"Lawrence"	"Lead (Golden Hills Resort and Convention Center)"	390	453	890	516	380	896
"SD"	2012	"Lawrence"	"Nemo (Nemo Church)"	69	142	215	133	81	214
"SD"	2012	"Lawrence"	"Rural #1 (Lawrence County Administrative Annex)"	181	334	541	339	199	538
"SD"	2012	"Lawrence"	"Rural #2 (Spearfish Park Pavilion)"	403	877	1318	905	401	1306
"SD"	2012	"Lawrence"	"Spearfish Ward 1 (Spearfish Senior Citizen's Center)"	329	413	781	426	352	778
"SD"	2012	"Lawrence"	"Spearfish Ward 2 (Spearfish Senior Citizen's Center)"	340	601	970	602	360	962
"SD"	2012	"Lawrence"	"Spearfish Ward 3 (Spearfish Senior Citizen's Center)"	343	699	1070	717	341	1058
"SD"	2012	"Lawrence"	"St Onge (St Onge Community Hall)"	55	224	292	221	67	288
"SD"	2012	"Lawrence"	"Whitewood (Whitewood City Hall)"	180	407	609	427	179	606
"SD"	2012	"Lincoln"	"Beresford/Pleasant/Brooklyn (Beresford City Library)"	143	292	447	282	163	445
"SD"	2012	"Lincoln"	"Canton 1,2,3 (Canton Methodist Church)"	355	483	847	488	364	852
"SD"	2012	"Lincoln"	"Canton 4 & 5 (Canton Methodist Church)"	230	257	508	258	244	502
"SD"	2012	"Lincoln"	"Dayton Township (Shalom Lutheran Church)"	120	260	385	257	129	386
"SD"	2012	"Lincoln"	"Delapre Township (Tea City Hall)"	272	618	914	584	310	894
"SD"	2012	"Lincoln"	"Delaware Township (Delaware Reformed Church)"	24	75	99	63	34	97
"SD"	2012	"Lincoln"	"Fairview Inc/Fairview Township (Bethany Lutheran Church)"	37	82	123	82	41	123
"SD"	2012	"Lincoln"	"Grant Township (West Prairie Lutheran Church)"	80	124	209	120	92	212
"SD"	2012	"Lincoln"	"Harrisburg (United Methodist Church)"	617	932	1574	901	664	1565
"SD"	2012	"Lincoln"	"Highland/Canton Township (Canton Methodist Church)"	161	274	449	274	171	445
"SD"	2012	"Lincoln"	"Hudson/Eden Township (Hudson Town Hall)"	90	112	204	114	90	204
"SD"	2012	"Lincoln"	"LaValley Township (Shalom Lutheran Church)"	88	171	266	167	97	264
"SD"	2012	"Lincoln"	"Lennox City (Lennox Community Hall)"	411	516	939	531	408	939
"SD"	2012	"Lincoln"	"Lincoln Township (South Lincoln Rural Water)"	42	77	120	65	55	120
"SD"	2012	"Lincoln"	"Norway Township (Lands Lutheran Church)"	56	78	137	71	65	136
"SD"	2012	"Lincoln"	"Perry Township (Lennox Community Hall)"	136	236	377	240	134	374
"SD"	2012	"Lincoln"	"Sioux Falls 1-11 (First Evangelical Free Church)"	609	1310	1938	1254	668	1922
"SD"	2012	"Lincoln"	"Sioux Falls 1-12 (First Evangelical Free Church)"	622	964	1614	942	660	1602
"SD"	2012	"Lincoln"	"Sioux Falls 1-13 (Central Baptist Church)"	301	366	688	357	322	679
"SD"	2012	"Lincoln"	"Sioux Falls 1-14 (Central Baptist Church)"	277	403	698	383	308	691
"SD"	2012	"Lincoln"	"Sioux Falls 1-16 (Central Baptist Church)"	325	311	645	285	355	640
"SD"	2012	"Lincoln"	"Sioux Falls 2-10 (Faith Baptist Fellowship Church)"	454	1120	1593	1063	515	1578
"SD"	2012	"Lincoln"	"Sioux Falls 2-11 (Faith Baptist Fellowship Church)"	381	887	1277	849	427	1276
"SD"	2012	"Lincoln"	"Sioux Falls 2-12 (Linwood Wesleyan Church)"	290	477	772	440	322	762
"SD"	2012	"Lincoln"	"Sioux Falls 2-13 (Linwood Wesleyan Church)"	514	749	1282	697	570	1267
"SD"	2012	"Lincoln"	"Sioux Falls 2-15 (Faith Baptist Fellowship Church)"	281	537	825	503	320	823
"SD"	2012	"Lincoln"	"Springdale Township (United Methodist Church)"	326	797	1138	758	380	1138
"SD"	2012	"Lincoln"	"Tea City (Tea City Hall)"	536	801	1364	790	558	1348
"SD"	2012	"Lincoln"	"Worthing/Lynn Township (Worthing Civic Center)"	204	302	520	289	230	519
"SD"	2012	"Lyman"	"#01 IONA (#01 IONA COMMUNITY CENTER)"	11	54	67	40	26	66
"SD"	2012	"Lyman"	"#04 OACOMA (#04 OACOMA COMMUNITY CENTER)"	155	204	368	207	159	366
"SD"	2012	"Lyman"	"#06 RELIANCE (#06 RELIANCE METHODIST CHURCH)"	64	96	164	95	72	167
"SD"	2012	"Lyman"	"#07 LOWER BRULE (#07 GOLDEN BUFFALO CONVENTION CENTER)"	215	23	241	39	201	240
"SD"	2012	"Lyman"	"#09 KENNEBEC (#09 LYMAN COUNTY COURTHOUSE)"	41	206	253	199	53	252
"SD"	2012	"Lyman"	"#12 PRESHO (#12 PRESHO METHODIST CHURCH)"	97	260	359	250	106	356
"SD"	2012	"Lyman"	"#13 VIVIAN (#13 VIVIAN FIRE HALL)"	22	90	117	86	34	120
"SD"	2012	"Marshall"	"Britton Twps (Britton-Hecla School Auditorium)"	114	88	208	81	132	213
"SD"	2012	"Marshall"	"Community Bldg (County Community Building)"	105	64	171	66	106	172
"SD"	2012	"Marshall"	"Community Bldg 3 & Miller (County Community Building)"	142	117	263	105	156	261
"SD"	2012	"Marshall"	"Eden Area (Eden Community Center)"	74	95	175	101	78	179
"SD"	2012	"Marshall"	"Fun After Fifty (Fun After Fifty)"	116	113	233	110	123	233
"SD"	2012	"Marshall"	"Lake City Area (St. Joseph's Catholic Church)"	147	145	296	152	140	292
"SD"	2012	"Marshall"	"Langford Area (Langford City Hall)"	173	104	284	113	168	281
"SD"	2012	"Marshall"	"Pl Valley, White, Victor (Britton-Hecla School Auditorium)"	80	75	156	72	85	157
"SD"	2012	"Marshall"	"Veblen Area (Veblen City Hall)"	110	88	201	102	95	197
"SD"	2012	"McCook"	"Bridgewater Area (Bridgewater Fire Hall)"	84	353	443	331	113	444
"SD"	2012	"McCook"	"Canistota Area (Canistota Legion Hall )"	188	349	547	350	193	543
"SD"	2012	"McCook"	"Montrose Area (Montrose Community Center)"	221	292	526	275	254	529
"SD"	2012	"McCook"	"Salem Area-Rural (Salem Nat'l Guard Armory)"	124	201	332	213	120	333
"SD"	2012	"McCook"	"Salem City (Salem Nat'l Guard Armory)"	230	376	620	368	256	624
"SD"	2012	"McCook"	"Spencer Area (Spencer Community Center)"	58	84	145	77	67	144
"SD"	2012	"McPherson"	"101 (Long Lake Fire Hall)"	11	42	57	40	15	55
"SD"	2012	"McPherson"	"central (Eureka Fire Hall)"	45	179	227	171	52	223
"SD"	2012	"McPherson"	"northeast leola (McPherson County Courthouse)"	44	206	255	193	61	254
"SD"	2012	"McPherson"	"northwest (Eureka Fire Hall)"	41	206	250	189	63	252
"SD"	2012	"McPherson"	"southeast leola (McPherson County Courthouse)"	51	138	193	128	68	196
"SD"	2012	"McPherson"	"southwest (Eureka Fire Hall)"	80	150	233	163	74	237
"SD"	2012	"Meade"	"Alkali #6A (Alkali Community Hall)"	30	99	134	99	38	137
"SD"	2012	"Meade"	"Base #23 (Vandenberg School)"	51	178	241	166	59	225
"SD"	2012	"Meade"	"Bear Butte #9 (Sturgis Community Center)"	33	105	150	120	32	152
"SD"	2012	"Meade"	"Black Hawk #14 (Black Hawk Fire Department)"	165	349	532	366	159	525
"SD"	2012	"Meade"	"Central Black Hawk #19 (Black Hawk Fire Department)"	146	345	507	352	153	505
"SD"	2012	"Meade"	"Central Sturgis #3 (Sturgis Community Center)"	85	143	236	147	88	235
"SD"	2012	"Meade"	"Chalk Butte #27 (Central Meade Co. Community Center)"	20	117	139	111	30	141
"SD"	2012	"Meade"	"East Piedmont #12 (Piedmont Community Hall)"	148	491	647	500	146	646
"SD"	2012	"Meade"	"East Sturgis #1 (Sturgis Community Center)"	86	166	258	176	78	254
"SD"	2012	"Meade"	"Elk Vale #21 (Vandenberg School)"	69	221	302	229	68	297
"SD"	2012	"Meade"	"Ellsworth #22 (Vandenberg School)"	22	44	66	43	17	60
"SD"	2012	"Meade"	"Elm Springs #18 (Elm Springs Fire Department)"	13	60	80	57	19	76
"SD"	2012	"Meade"	"Fairpoint #29 (Central Meade Co. Community Center)"	12	27	40	28	12	40
"SD"	2012	"Meade"	"Faith #31 (Faith Community Center)"	44	201	255	208	48	256
"SD"	2012	"Meade"	"Harmony #8 (Sturgis Community Center)"	75	215	302	217	83	300
"SD"	2012	"Meade"	"Hereford #20 (Hereford Hall)"	12	41	57	37	21	58
"SD"	2012	"Meade"	"Marcus #41 (Marcus Church)"	5	34	46	38	6	44
"SD"	2012	"Meade"	"Northeast Sturgis #1A (Sturgis Community Center)"	58	101	165	108	54	162
"SD"	2012	"Meade"	"Northwest Sturgis #5 (Sturgis Community Center)"	146	265	423	286	128	414
"SD"	2012	"Meade"	"Piedmont #11 (Piedmont Community Hall)"	224	497	748	518	223	741
"SD"	2012	"Meade"	"Pine #33 (Opal School)"	8	83	96	88	7	95
"SD"	2012	"Meade"	"Red Owl #30 (RNA Hall)"	5	64	71	57	12	69
"SD"	2012	"Meade"	"Rural Black Hawk #15 (Black Hawk Fire Department)"	109	269	390	269	116	385
"SD"	2012	"Meade"	"Rural Sturgis #7 (Sturgis Community Center)"	66	183	258	175	86	261
"SD"	2012	"Meade"	"South Sturgis #2A (Sturgis Community Center)"	111	220	341	218	122	340
"SD"	2012	"Meade"	"Southeast Piedmont #13 (Piedmont Community Hall)"	260	720	1001	738	255	993
"SD"	2012	"Meade"	"Southeast Sturgis #2 (Sturgis Community Center)"	141	341	497	342	154	496
"SD"	2012	"Meade"	"Southwest Sturgis #4A (Sturgis Community Center)"	107	176	291	179	106	285
"SD"	2012	"Meade"	"Sturgis #5A (Sturgis Community Center)"	64	127	196	123	70	193
"SD"	2012	"Meade"	"Sulphur #35 (Mud Butte Fire Hall)"	0	46	51	47	3	50
"SD"	2012	"Meade"	"Summerset #10 (Summerset City Hall)"	234	561	812	570	236	806
"SD"	2012	"Meade"	"Tilford #6 (Sturgis Community Center)"	189	464	665	460	205	665
"SD"	2012	"Meade"	"Union #40 (Plainview Hall)"	6	29	36	31	6	37
"SD"	2012	"Meade"	"Viewfield #17 (New Underwood Community Center)"	12	75	87	73	12	85
"SD"	2012	"Meade"	"West Black Hawk #16 (Black Hawk Fire Department)"	88	241	334	241	89	330
"SD"	2012	"Meade"	"West Elk Vale #24 (Vandenberg School)"	30	133	170	134	37	171
"SD"	2012	"Meade"	"West Sturgis #4 (Sturgis Community Center)"	49	101	154	107	45	152
"SD"	2012	"Meade"	"White Owl #25 (White Owl Community Hall)"	5	34	39	34	5	39
"SD"	2012	"Mellette"	"Central (Emergency Services Building)"	107	96	211	110	105	215
"SD"	2012	"Mellette"	"East (Wood Community Hall)"	32	99	132	98	33	131
"SD"	2012	"Mellette"	"West (Norris Township Hall)"	107	87	195	109	84	193
"SD"	2012	"Mellette"	"White River (Emergency Services Building)"	129	99	231	94	136	230
"SD"	2012	"Miner"	"Beaver, Clinton, Miner (Fedora Fire Hall)"	27	44	76	50	28	78
"SD"	2012	"Miner"	"Clearwater Howard Roswell Twps  (Howard City Armory)"	65	127	193	114	83	197
"SD"	2012	"Miner"	"Gr Valley Carthage Redstone Twp (Carthage Fire Hall)"	43	71	120	79	45	124
"SD"	2012	"Miner"	"Henden Adams Belleview Grafton (Howard City Armory)"	77	106	186	101	89	190
"SD"	2012	"Miner"	"Howard City Ward 1 (Howard City Armory)"	73	77	152	66	83	149
"SD"	2012	"Miner"	"Howard City Ward 2 (Howard City Armory)"	69	71	142	69	75	144
"SD"	2012	"Miner"	"Howard City Ward 3 (Howard City Armory)"	50	71	125	70	52	122
"SD"	2012	"Miner"	"Vermillion, Canova, Rock Creek- (Canova C.A.R.E. Center)"	75	69	146	74	75	149
"SD"	2012	"Minnehaha"	"1-10 (JFK School)"	663	732	1426	705	711	1416
"SD"	2012	"Minnehaha"	"1-17 (RF Pettigrew Elementary School)"	506	678	1206	630	553	1183
"SD"	2012	"Minnehaha"	"1-2 (St Mark's Lutheran Church)"	258	322	587	306	284	590
"SD"	2012	"Minnehaha"	"1-3 (O'Gorman High School)"	541	775	1330	730	539	1269
"SD"	2012	"Minnehaha"	"1-4 (Including: 1-5) (Center for Active Generations)"	889	915	1847	882	922	1804
"SD"	2012	"Minnehaha"	"1-6 (Sunnycrest United Methodist Church)"	643	658	1335	642	680	1322
"SD"	2012	"Minnehaha"	"1-8 (Kuehn Community Center)"	383	494	887	468	413	881
"SD"	2012	"Minnehaha"	"1-9 (Peace Lutheran Church)"	609	624	1257	604	637	1241
"SD"	2012	"Minnehaha"	"2-1 (VFW Club)"	521	792	1327	734	574	1308
"SD"	2012	"Minnehaha"	"2-14 (John Harris School)"	683	1022	1725	938	774	1712
"SD"	2012	"Minnehaha"	"2-2 (Ronning Branch Library)"	581	1000	1591	954	620	1574
"SD"	2012	"Minnehaha"	"2-3 (Morningside Community Center)"	634	703	1359	679	670	1349
"SD"	2012	"Minnehaha"	"2-4 (Holy Apostles Episcopal Church)"	504	361	877	352	521	873
"SD"	2012	"Minnehaha"	"2-6 (Hillcrest Baptist Church)"	595	721	1340	686	642	1328
"SD"	2012	"Minnehaha"	"2-7 (Lord of Life Lutheran Church)"	604	959	1586	912	666	1578
"SD"	2012	"Minnehaha"	"2-8 (Avera Prince of Peace Retirement Community)"	448	720	1182	691	497	1188
"SD"	2012	"Minnehaha"	"2-9 (Calvary Assembly of God)"	508	662	1192	618	562	1180
"SD"	2012	"Minnehaha"	"3-10 (Memorial Middle School)"	693	1004	1718	968	731	1699
"SD"	2012	"Minnehaha"	"3-11 (Church at the Gate)"	361	601	973	576	397	973
"SD"	2012	"Minnehaha"	"3-12 (MariCar Community Center)"	549	538	1123	551	562	1113
"SD"	2012	"Minnehaha"	"3-14 (Southeast Technical Institute)"	510	590	1129	570	545	1115
"SD"	2012	"Minnehaha"	"3-15 (St Michael's Catholic Church)"	568	724	1332	685	634	1319
"SD"	2012	"Minnehaha"	"3-16 (Memorial Middle School)"	324	546	885	516	355	871
"SD"	2012	"Minnehaha"	"3-17 (Discovery Elementary School)"	516	727	1262	688	563	1251
"SD"	2012	"Minnehaha"	"3-5 (Sioux Falls Arena)"	411	314	743	289	431	720
"SD"	2012	"Minnehaha"	"3-6 (Axtell Park Middle School)"	617	405	1062	411	635	1046
"SD"	2012	"Minnehaha"	"3-7 (Oyate Community Center)"	559	399	988	393	591	984
"SD"	2012	"Minnehaha"	"3-8 (Trinity Baptist Church)"	221	245	471	228	233	461
"SD"	2012	"Minnehaha"	"3-9 (Girl Scouts Dakota Horizons)"	984	1195	2221	1113	992	2105
"SD"	2012	"Minnehaha"	"4-1 (Including: 5-15) (Minnehaha County Administration Building)"	633	311	972	327	629	956
"SD"	2012	"Minnehaha"	"4-10 (St Lambert's Catholic Church)"	487	506	1013	495	511	1006
"SD"	2012	"Minnehaha"	"4-11 (Wild Flower Presbyterian Church)"	693	916	1624	886	729	1615
"SD"	2012	"Minnehaha"	"4-12 (Hilltop United Methodist Church)"	546	556	1120	538	559	1097
"SD"	2012	"Minnehaha"	"4-2 (Emmanuel Baptist Church)"	437	317	780	314	450	764
"SD"	2012	"Minnehaha"	"4-3 (Terry Redlin School)"	284	200	499	197	301	498
"SD"	2012	"Minnehaha"	"4-4 (Wesley United Methodist Church)"	525	281	821	283	539	822
"SD"	2012	"Minnehaha"	"4-5 (Fire Station # 7)"	465	364	850	372	467	839
"SD"	2012	"Minnehaha"	"4-6 (Laura B Anderson School)"	254	153	419	162	253	415
"SD"	2012	"Minnehaha"	"4-7 (Including: 4-8) (Oak View Library)"	803	706	1540	685	838	1523
"SD"	2012	"Minnehaha"	"4-9 (Grace Lutheran Church)"	559	416	1000	404	584	988
"SD"	2012	"Minnehaha"	"5-1 (Including: 5-2) (First United Methodist Church)"	754	381	1175	392	769	1161
"SD"	2012	"Minnehaha"	"5-10 (First Presbyterian Church)"	372	361	754	337	412	749
"SD"	2012	"Minnehaha"	"5-11 (Volunteers of America)"	321	287	630	290	334	624
"SD"	2012	"Minnehaha"	"5-12 (Instructional Planning Center)"	382	343	740	340	387	727
"SD"	2012	"Minnehaha"	"5-13 (Instructional Planning Center)"	355	369	744	348	390	738
"SD"	2012	"Minnehaha"	"5-14 (Jefferson School)"	551	436	1020	436	570	1006
"SD"	2012	"Minnehaha"	"5-17 (Asbury United Methodist Church)"	306	360	680	345	325	670
"SD"	2012	"Minnehaha"	"5-18 (Hawthorne School)"	646	447	1127	442	674	1116
"SD"	2012	"Minnehaha"	"5-3 (Zion Lutheran Church)"	253	188	460	198	257	455
"SD"	2012	"Minnehaha"	"5-4 (Longfellow School)"	536	366	927	355	563	918
"SD"	2012	"Minnehaha"	"5-6 (Horace Mann School)"	557	513	1091	503	583	1086
"SD"	2012	"Minnehaha"	"5-7 (Patrick Henry Middle School)"	308	309	623	291	334	625
"SD"	2012	"Minnehaha"	"5-8 (Instructional Planning Center)"	490	449	953	428	522	950
"SD"	2012	"Minnehaha"	"5-9 (Our Savior's Lutheran Church)"	254	220	491	232	249	481
"SD"	2012	"Minnehaha"	"VP-1 (Valley Springs Elementary School)"	244	445	713	419	288	707
"SD"	2012	"Minnehaha"	"VP-10 (Garretson Senior Citizens Center)"	465	607	1096	577	523	1100
"SD"	2012	"Minnehaha"	"VP-11 (Lutheran Church of Dell Rapids)"	368	570	953	535	405	940
"SD"	2012	"Minnehaha"	"VP-12 (Heesch Farm)"	47	91	140	83	55	138
"SD"	2012	"Minnehaha"	"VP-13 (Taopi Community Hall)"	325	521	863	535	326	861
