state	year	county	precinct	g2012_REG_tv	g2012_BALL_tv	cd	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	cd3	g2012_USH_dv3	g2012_USH_rv3	g2012_USH_tv3
"AL"	2012	"Choctaw"	"LISMAN"	533	348	7	348	328	19	311	22	333								
"AL"	2012	"Choctaw"	"LUSK"	266	199	7	198	3	194	35	131	166								
"AL"	2012	"Choctaw"	"MELVIN"	195	145	7	143	83	60	87	44	131								
"AL"	2012	"Choctaw"	"MT. STERLING"	258	186	7	186	122	64	124	45	169								
"AL"	2012	"Choctaw"	"PELHAM"	175	89	7	89	66	23	73	14	87								
"AL"	2012	"Choctaw"	"PENNINGTON"	643	421	7	421	286	134	292	107	399								
"AL"	2012	"Choctaw"	"PLEASANT VALLEY"	267	183	7	183	5	178	33	120	153								
"AL"	2012	"Choctaw"	"PROVISIONAL"	0	0	7	0	0	0	0	0	0								
"AL"	2012	"Choctaw"	"PUSHMATAHA"	231	146	7	146	132	14	127	13	140								
"AL"	2012	"Choctaw"	"RIDERWOOD"	222	140	7	140	121	19	120	9	129								
"AL"	2012	"Choctaw"	"ROCK SPRINGS"	121	94	7	94	5	89	14	67	81								
"AL"	2012	"Choctaw"	"SILAS"	538	329	7	329	106	222	130	165	295								
"AL"	2012	"Choctaw"	"SOUWILPA"	97	72	7	69	5	63	14	35	49								
"AL"	2012	"Choctaw"	"TOOMEY"	251	162	7	162	81	81	79	69	148								
"AL"	2012	"Choctaw"	"TOXEY"	523	363	7	362	163	199	180	150	330								
"AL"	2012	"Choctaw"	"WOMACK HILL"	150	98	7	98	23	75	40	51	91								
"AL"	2012	"Choctaw"	"YANTLEY"	423	263	7	263	251	12	239	11	250								
"AL"	2012	"Clarke"	"ABSENTEE"	0	918	7	900	433	465	361	237	598	1		190	190				
"AL"	2012	"Clarke"	"ANTIOCH FIRE STATION"	0	398	1	395	155	240		249	249								
"AL"	2012	"Clarke"	"BASHI METHODIST CHURCH"	0	109	7	108	23	84	24	83	107								
"AL"	2012	"Clarke"	"CHILTON-HOPEWELL CHURCH"	0	107	7	107	1	106	6	94	100								
"AL"	2012	"Clarke"	"CHOCTAW BLUFF FIRE STA."	0	291	7	291	209	81	212	70	282								
"AL"	2012	"Clarke"	"CITY HALL - JACKSON"	0	1352	7	1348	895	450	617	343	960	1		71	71				
"AL"	2012	"Clarke"	"COFFEEVILLE"	0	593	7	590	227	359	246	312	558								
"AL"	2012	"Clarke"	"FULTON CITY HALL"	0	739	7	738	210	527	230	453	683								
"AL"	2012	"Clarke"	"GAINSTOWN"	0	543	7	541	499	42	485	36	521								
"AL"	2012	"Clarke"	"GOSPORT FIRE STATION"	0	158	7	158	136	22	131	19	150								
"AL"	2012	"Clarke"	"GROVE HILL CITY HALL"	0	509	1	502	121	377		377	377								
"AL"	2012	"Clarke"	"GROVE HILL NATIONAL GUARD"	0	336	7	333	244	86	243	71	314								
"AL"	2012	"Clarke"	"GROVE HILL OLD ENGINEERS"	0	491	1	489	174	314		317	317								
"AL"	2012	"Clarke"	"JACKSON FIRE STATION"	0	527	1	527	91	433		448	448								
"AL"	2012	"Clarke"	"JACKSON NATIONAL GUARD"	0	614	1	611	72	533		523	523								
"AL"	2012	"Clarke"	"MAGNOLIA ASSM. HELWESTERN"	0	341	1	339	44	293		289	289								
"AL"	2012	"Clarke"	"MORNING STAR CHURCH"	0	298	7	298	258	40	251	39	290								
"AL"	2012	"Clarke"	"NETTLESBORO FIRE STATION"	0	194	7	194	93	101	95	85	180								
"AL"	2012	"Clarke"	"OPINE-TALLAHATTA SPRS. FD"	0	128	7	128	1	124	12	105	117								
"AL"	2012	"Clarke"	"OVERSTREET GRO WALKER SPR"	0	380	7	378	228	150	231	127	358								
"AL"	2012	"Clarke"	"PROVISIONAL"	0	24	7	24	17	7	15	6	21	1		0	0				
"AL"	2012	"Clarke"	"ROCKVILLE VOTING"	0	184	7	182	125	57	121	56	177								
"AL"	2012	"Clarke"	"SALITPA VOL. FIRE DEPT."	0	186	1	186	84	102		107	107								
"AL"	2012	"Clarke"	"SKIPPER FIRE STATTION"	0	866	1	859	286	570		587	587								
"AL"	2012	"Clarke"	"SPRINGFIELD METH PROD CH"	0	300	7	298	12	284	23	244	267								
"AL"	2012	"Clarke"	"THOMASVILLE NATL GUARD"	0	2613	7	2602	1182	1415	1266	1245	2511								
"AL"	2012	"Clarke"	"WALNUT GROVE MISSIONARY"	0	179	7	179	147	32	139	33	172								
"AL"	2012	"Clarke"	"WHATLEY TIMBER COMPANY"	0	223	7	223	139	81	137	65	202								
"AL"	2012	"Clarke"	"WINN-ZIMCO FIRE STATION"	0	324	7	323	228	95	226	80	306								
"AL"	2012	"Clay"	"ABSENTEE"	0	594	3	559	182	369	224	335	559								
"AL"	2012	"Clay"	"ASHLAND NG ARMORY"	0	1431	3	1410	425	971	394	974	1368								
"AL"	2012	"Clay"	"BARFIELD VOL. FIRE"	0	531	3	527	85	438	93	430	523								
"AL"	2012	"Clay"	"BLUFF SPRINGS FIRE"	0	367	3	365	37	322	42	308	350								
"AL"	2012	"Clay"	"COLETA VALLEY FIRE"	0	130	3	128	15	113	16	110	126								
"AL"	2012	"Clay"	"CRAGFORD FIRE"	0	166	3	160	19	138	25	138	163								
"AL"	2012	"Clay"	"DELTA COMMUNITY CTR"	0	238	3	234	25	206	24	207	231								
"AL"	2012	"Clay"	"HIGHLAND COPPERMINE"	0	382	3	378	40	336	24	338	362								
"AL"	2012	"Clay"	"HIPINE FIRE DEPT"	0	90	3	88	9	79	9	78	87								
"AL"	2012	"Clay"	"HOLLINS COMM. CENTER"	0	257	3	255	55	197	54	195	249								
"AL"	2012	"Clay"	"IDAHO FIRE DEPARTMENT"	0	232	3	230	23	205	29	198	227								
"AL"	2012	"Clay"	"LINEVILLE NG ARMORY"	0	1336	3	1325	613	696	550	750	1300								
"AL"	2012	"Clay"	"MELLOW VALLEY HIGH"	0	337	3	334	29	302	34	289	323								
"AL"	2012	"Clay"	"MILLERVILLE FIRE"	0	365	3	363	133	230	119	227	346								
"AL"	2012	"Clay"	"PROVISIONAL"	0	0	3	0	0	0	0	0	0								
"AL"	2012	"Clay"	"TRI-COMMUNITY FIRE"	0	285	3	284	80	200	84	194	278								
"AL"	2012	"Cleburne"	"ABEL"	0	148	3	146	11	135	13	131	144								
"AL"	2012	"Cleburne"	"ABSENTEE"	0	302	3	286	44	242	39	234	273								
"AL"	2012	"Cleburne"	"BORDEN SPRINGS VOL. FIRE"	0	113	3	108	23	83	15	96	111								
"AL"	2012	"Cleburne"	"CHULAFINNEE"	0	716	3	706	140	564	115	565	680								
"AL"	2012	"Cleburne"	"EDWARDSVILLE"	0	326	3	323	30	289	32	276	308								
"AL"	2012	"Cleburne"	"FRUITHURST"	0	270	3	264	51	208	45	213	258								
"AL"	2012	"Cleburne"	"GREENS CHAPEL"	0	193	3	191	27	163	30	149	179								
"AL"	2012	"Cleburne"	"HEFLIN RECREATIONAL CTR."	0	1598	3	1582	354	1211	333	1209	1542								
"AL"	2012	"Cleburne"	"HOPEWELL"	0	409	3	403	29	373	38	355	393								
"AL"	2012	"Cleburne"	"MICAVILLE FIRE DEPT."	0	267	3	266	18	246	21	234	255								
"AL"	2012	"Cleburne"	"MUSCADINE"	0	184	3	180	30	145	30	136	166								
"AL"	2012	"Cleburne"	"OAK LEVEL VOL. FIRE DEPT."	0	324	3	312	50	254	51	244	295								
"AL"	2012	"Cleburne"	"PLAINVIEW COMMUNITY CTR."	0	153	3	150	17	131	19	126	145								
"AL"	2012	"Cleburne"	"PROVISIONAL"	0	0	3	0	0	0	0	0	0								
"AL"	2012	"Cleburne"	"RANBURNE RESCUE SQUAD"	0	1064	3	1054	84	959	101	900	1001								
"AL"	2012	"Cleburne"	"TURKEY HEAVEN VFD"	0	336	3	331	63	266	56	269	325								
"AL"	2012	"Coffee"	"ABSENTEE"	0	902	2	879	175	694	177	689	866								
"AL"	2012	"Coffee"	"BASIN"	0	293	2	292	46	245	55	230	285								
"AL"	2012	"Coffee"	"BLUFF SPRINGS"	0	76	2	74	5	68	8	67	75								
"AL"	2012	"Coffee"	"CHESTNUT GROVE"	0	118	2	117	7	105	18	97	115								
"AL"	2012	"Coffee"	"COOL SPRINGS"	0	655	2	650	91	548	97	541	638								
"AL"	2012	"Coffee"	"DAMASCUS"	0	445	2	441	44	392	49	389	438								
"AL"	2012	"Coffee"	"EANON"	0	376	2	373	30	336	43	326	369								
"AL"	2012	"Coffee"	"ELBA NATIONAL GUARD"	0	390	2	387	142	244	129	240	369								
"AL"	2012	"Coffee"	"ELBA REC CENTER"	0	1019	2	1007	240	757	241	742	983								
"AL"	2012	"Coffee"	"ELBA ZION CHAPEL"	0	366	2	361	303	58	294	58	352								
"AL"	2012	"Coffee"	"ENTERPRISE REC. CENTER"	0	2766	2	2751	481	2255	485	2229	2714								
"AL"	2012	"Coffee"	"FARM CTR. COMM. ROOM"	0	657	2	650	130	515	139	510	649								
"AL"	2012	"Coffee"	"FRISCO"	0	379	2	379	92	284	93	272	365								
"AL"	2012	"Coffee"	"GOODMAN"	0	412	2	411	53	356	54	351	405								
"AL"	2012	"Coffee"	"HERITAGE UMC"	0	1579	2	1567	558	984	548	992	1540								
"AL"	2012	"Coffee"	"HOLLEY'S STORE"	0	73	2	71	4	65	10	61	71								
"AL"	2012	"Coffee"	"IAM DISTRICT 75 HALL"	0	1242	2	1231	419	802	411	803	1214								
"AL"	2012	"Coffee"	"INO"	0	176	2	176	10	166	12	157	169								
"AL"	2012	"Coffee"	"JOHNS CHAPEL AME"	0	1625	2	1617	1039	570	1002	575	1577								
"AL"	2012	"Coffee"	"KINSTON CITY HALL"	0	342	2	339	29	307	35	302	337								
"AL"	2012	"Coffee"	"LEE COMMUNITY"	0	132	2	131	24	105	26	100	126								
"AL"	2012	"Coffee"	"MT PLEASANT SR. CTR."	0	954	2	953	92	857	105	839	944								
"AL"	2012	"Coffee"	"NEW BROCKTON SR. CTR."	0	308	2	305	163	141	163	134	297								
"AL"	2012	"Coffee"	"NEWBIA"	0	78	2	78	12	66	11	63	74								
"AL"	2012	"Coffee"	"PINE LEVEL SR. CTR."	0	171	2	171	14	156	19	146	165								
"AL"	2012	"Coffee"	"PLEASANT RIDGE"	0	562	2	559	78	476	73	477	550								
"AL"	2012	"Coffee"	"PROVISONAL"	0	0	2	0	0	0	0	0	0								
"AL"	2012	"Coffee"	"VICTORIA"	0	210	2	209	16	188	26	180	206								
"AL"	2012	"Coffee"	"WISE MILL CHURCH"	0	260	2	260	23	231	34	220	254								
"AL"	2012	"Coffee"	"YMCA"	0	2906	2	2892	548	2319	568	2289	2857								
"AL"	2012	"Coffee"	"ZION CHAPEL SR. CTR."	0	385	2	384	31	348	40	332	372								
"AL"	2012	"Colbert"	"ABSENTEE"	0	901	4	886	298	583	314	555	869								
"AL"	2012	"Colbert"	"ALLSBORO CUMBERLAND PRES."	144	101	4	100	28	71	29	62	91								
"AL"	2012	"Colbert"	"BARTON FIRST BAPTIST"	785	459	4	454	202	245	214	231	445								
"AL"	2012	"Colbert"	"CAVE SPRINGS MIS. BAPTIST"	232	173	4	173	153	20	152	18	170								
"AL"	2012	"Colbert"	"CHEROKEE LIONS DEN"	978	553	4	545	236	293	251	255	506								
"AL"	2012	"Colbert"	"CHEROKEE WATER/GAS DEPT"	461	302	4	300	101	186	99	187	286								
"AL"	2012	"Colbert"	"COLBERT CO. BOARD OF ED."	1595	1006	4	1002	683	309	678	295	973								
"AL"	2012	"Colbert"	"COLBERT HEIGHTS BAPTIST"	1561	954	4	950	254	676	269	647	916								
"AL"	2012	"Colbert"	"COUNTY HIGHWAY DEPARTMENT"	1183	767	4	761	156	599	165	572	737								
"AL"	2012	"Colbert"	"EAST COLBERT SENIOR CENTER"	1828	1196	4	1186	353	819	354	798	1152								
"AL"	2012	"Colbert"	"FIRST SOUTHERN BAPTIST CHURCH"	1005	758	4	753	118	624	138	595	733								
"AL"	2012	"Colbert"	"GATMAN PARK & REC. CENTER"	1519	1009	4	1001	316	676	319	650	969								
"AL"	2012	"Colbert"	"GRACE LIFE CHURCH"	2251	1471	4	1462	578	871	591	835	1426								
"AL"	2012	"Colbert"	"HATTON BAPTIST CHURCH"	1274	793	4	785	444	332	456	320	776								
"AL"	2012	"Colbert"	"HOPE HAVEN SCHOOL"	1157	709	4	696	183	504	205	467	672								
"AL"	2012	"Colbert"	"LA GRANGE FIRE DEPTARTMENT"	688	392	4	388	107	274	111	254	365								
"AL"	2012	"Colbert"	"LEIGHTON CITY HALL"	453	304	4	300	227	73	220	72	292								
"AL"	2012	"Colbert"	"LEIGHTON CIVIC CENTER"	1042	624	4	613	346	262	352	253	605								
"AL"	2012	"Colbert"	"LITTLEVILLE CITY HALL"	1317	728	4	718	198	516	209	490	699								
"AL"	2012	"Colbert"	"MARGERUM METHODIST CHURCH"	438	254	4	250	78	168	88	157	245								
"AL"	2012	"Colbert"	"MUSCLE SHOALS CITY HALL"	1918	1197	4	1191	348	829	354	800	1154								
"AL"	2012	"Colbert"	"MYNOT CHURCH OF CHRIST"	116	82	4	81	17	60	27	50	77								
"AL"	2012	"Colbert"	"NEW BETHEL FIRE DEPARTMENT"	919	505	4	497	144	343	163	329	492								
"AL"	2012	"Colbert"	"PLUMBER STEAMFITTER UNION"	934	602	4	597	268	325	269	304	573								
"AL"	2012	"Colbert"	"PRIDE MISSIONARY BAPTIST"	1214	723	4	714	197	504	210	468	678								
"AL"	2012	"Colbert"	"PROVISIONAL"	0	12	4	11	6	5	4	6	10								
"AL"	2012	"Colbert"	"SHEFFIELD BOARD OF ED BLDG."	735	442	4	440	180	254	176	249	425								
"AL"	2012	"Colbert"	"SHEFFIELD FIRE MONTGOMERY"	521	259	4	258	135	118	132	117	249								
"AL"	2012	"Colbert"	"SHEFFIELD FIRE STN 2ND ST"	1280	687	4	683	421	254	412	252	664								
"AL"	2012	"Colbert"	"SHEFFIELD MICHAEL CENTER"	1065	656	4	656	615	40	568	37	605								
"AL"	2012	"Colbert"	"SHEFFIELD RECREATION CENTER"	1362	807	4	801	290	498	283	486	769								
"AL"	2012	"Colbert"	"SPRING VALLEY CHURCH OF GOD"	642	376	4	371	113	252	123	234	357								
"AL"	2012	"Colbert"	"SRYGLEY CHURCH OF CHRIST"	210	115	4	112	30	79	34	73	107								
"AL"	2012	"Colbert"	"TREE HOUSE SCHOOL"	1159	780	4	771	218	547	225	530	755								
"AL"	2012	"Colbert"	"TUSCUMBIA CALVARY BAPTIST"	856	435	4	432	192	238	180	235	415								
"AL"	2012	"Colbert"	"TUSCUMBIA MULTI-PURPOSE"	1530	962	4	951	390	548	395	532	927								
"AL"	2012	"Colbert"	"WESTSIDE BAPTIST"	680	445	4	442	125	314	123	300	423								
"AL"	2012	"Colbert"	"WOODWARD AVE. BAPTIST CHURCH"	1676	1062	4	1054	418	627	425	591	1016								
"AL"	2012	"Conecuh"	"2ND MOUNT ZION CHURCH"	0	135	2	133	109	24	82	24	106								
"AL"	2012	"Conecuh"	"ABSENTEE"	0	329	2	310	175	132	164	126	290								
"AL"	2012	"Conecuh"	"ANNEX VOTING HOUSE"	0	114	2	114	84	30	82	30	112								
"AL"	2012	"Conecuh"	"ANTIOCH FIRE DEPARTMENT"	0	228	2	226	29	196	30	192	222								
"AL"	2012	"Conecuh"	"BELLEVILLE FIRE DEPT."	0	447	2	446	355	91	345	82	427								
"AL"	2012	"Conecuh"	"BERMUDA COMMUNTIY HOUSE"	0	184	2	183	38	145	38	124	162								
"AL"	2012	"Conecuh"	"BROOKLYN MASONIC LODGE"	0	78	2	78	36	42	39	34	73								
"AL"	2012	"Conecuh"	"BROWNVILLE FIRE DEPT."	0	201	2	201	71	129	72	108	180								
"AL"	2012	"Conecuh"	"CASTLEBERRY FIRE DEPT."	0	534	2	529	219	308	201	251	452								
"AL"	2012	"Conecuh"	"DAVID BURT BUILDING"	0	720	2	718	200	516	205	441	646								
"AL"	2012	"Conecuh"	"FLAT ROCK FIRE DEPT."	0	104	2	101	11	90	12	78	90								
"AL"	2012	"Conecuh"	"HEALTH DEPARTMENT"	0	364	2	363	267	96	253	77	330								
"AL"	2012	"Conecuh"	"JOHNSONVILLE FIRE DEPT."	0	136	2	136	130	5	129	4	133								
"AL"	2012	"Conecuh"	"LENOX COMMUNITY HOUSE"	0	199	2	199	15	183	17	158	175								
"AL"	2012	"Conecuh"	"LITTLE ZION CHURCH"	0	165	2	163	103	60	99	46	145								
"AL"	2012	"Conecuh"	"LYEFFION FIRE DEPT."	0	283	2	279	69	210	70	183	253								
"AL"	2012	"Conecuh"	"MOUNT UNION CHURCH"	0	135	2	133	35	98	36	90	126								
"AL"	2012	"Conecuh"	"NATIONAL GUARD ARMORY"	0	826	2	825	692	130	658	123	781								
"AL"	2012	"Conecuh"	"NAZARENE BAPTIST CHURCH"	0	227	2	227	165	59	163	53	216								
"AL"	2012	"Conecuh"	"OLD FIELD CHURCH"	0	285	2	284	183	101	172	89	261								
"AL"	2012	"Conecuh"	"PAUL FIRE DEPT."	0	135	2	134	53	78	53	71	124								
"AL"	2012	"Conecuh"	"PROVISIONAL"	0	9	2	9	4	5	5	4	9								
"AL"	2012	"Conecuh"	"RANGE FIRE DEPT."	0	116	2	115	10	105	11	81	92								
"AL"	2012	"Conecuh"	"REPTON CITY HALL"	0	384	2	383	202	176	199	145	344								
"AL"	2012	"Conecuh"	"ROBINSONS MILL VOTING HOUSE"	0	186	2	186	115	70	111	64	175								
"AL"	2012	"Conecuh"	"SANDCUTT FIRE DEPT."	0	239	2	236	17	217	27	168	195								
"AL"	2012	"Conecuh"	"SKINNERTON FIRE DEPT."	0	59	2	58	16	42	13	36	49								
"AL"	2012	"Conecuh"	"WOOTEN VOTING HOUSE"	0	253	2	253	152	101	153	71	224								
"AL"	2012	"Coosa"	"ABSENTEE"	0	180	6	178	67	111	66	102	168								
"AL"	2012	"Coosa"	"COTTAGE GROVE DAYCARE BOX 9"	0	239	6	239	231	8	223	9	232								
"AL"	2012	"Coosa"	"COURTHOUSE BOX 10"	0	566	6	563	196	364	208	331	539								
"AL"	2012	"Coosa"	"EQUALITY FIRE DEPT. BOX 8"	0	372	6	368	65	298	87	277	364								
"AL"	2012	"Coosa"	"HANOVER BOX 3"	0	209	6	206	35	169	49	148	197								
"AL"	2012	"Coosa"	"KELLEYTON FIRE DEPT. BOX 2"	0	672	6	669	338	329	346	278	624								
"AL"	2012	"Coosa"	"MARBLE VALLEY FIRE BOX 18"	0	99	6	99	20	77	23	71	94								
"AL"	2012	"Coosa"	"MT. OLIVE COMM CTR BOX 20"	0	177	6	176	73	101	73	99	172								
"AL"	2012	"Coosa"	"OLD RAILROAD DEPOT BOX 1"	0	1037	6	1036	823	209	789	207	996								
"AL"	2012	"Coosa"	"PROVISIONAL"	0	5	6	5	3	2	3	2	5								
"AL"	2012	"Coosa"	"RAY FIRE DEPT. BOX 7"	0	410	6	409	199	207	201	187	388								
"AL"	2012	"Coosa"	"RICHVILLE FIRE BOX 13"	0	256	6	254	35	218	48	185	233								
"AL"	2012	"Coosa"	"WEOGUFKA VOTING HOUSE BOX 17"	0	361	6	357	32	324	47	298	345								
"AL"	2012	"Coosa"	"WEST COOSA SR. CTR. BOX 5"	0	712	6	710	74	632	96	587	683								
"AL"	2012	"Covington"	"ABSENTEE"	0	767	2	720	133	579	131	570	701								
"AL"	2012	"Covington"	"ANDALUSIA KIWANIS FAIR BD"	0	4039	2	4019	1234	2757	1213	2706	3919								
"AL"	2012	"Covington"	"BABBIE  FIRE"	0	404	2	403	26	373	33	367	400								
"AL"	2012	"Covington"	"BEULAH VOTING HOUSE"	0	265	2	265	17	247	24	235	259								
"AL"	2012	"Covington"	"BLUE SPRINGS HORN HILL CT"	0	333	2	330	27	296	35	290	325								
"AL"	2012	"Covington"	"BUCK CREEK FIRE"	0	358	2	354	41	310	40	303	343								
"AL"	2012	"Covington"	"CAROLINA CITY HALL"	0	424	2	420	38	380	39	367	406								
"AL"	2012	"Covington"	"FLORALA OLD NATL GUARD"	0	782	2	779	198	571	201	546	747								
"AL"	2012	"Covington"	"GANTT CITY HALL"	0	530	2	526	98	423	107	409	516								
"AL"	2012	"Covington"	"HARMONY"	0	211	2	211	20	190	14	189	203								
"AL"	2012	"Covington"	"HEATH CITY HALL"	0	394	2	393	56	336	57	330	387								
"AL"	2012	"Covington"	"HOPEWELL FIRE"	0	323	2	321	27	291	32	282	314								
"AL"	2012	"Covington"	"LIBERTYVILLE CITY HALL"	0	247	2	246	18	228	22	215	237								
"AL"	2012	"Covington"	"LOANGO FIRE DEPT."	0	222	2	222	31	191	40	175	215								
"AL"	2012	"Covington"	"LOCKHART CITY HALL"	0	411	2	410	101	307	99	304	403								
"AL"	2012	"Covington"	"MARVIN ODOMS VOTING HOUSE"	0	104	2	102	22	78	29	73	102								
"AL"	2012	"Covington"	"OPP SENIOR ACTIVITY CENTER"	0	2848	2	2844	643	2184	632	2105	2737								
"AL"	2012	"Covington"	"PLEASANT HOME/CATOES"	0	110	2	109	7	100	9	96	105								
"AL"	2012	"Covington"	"PROVSIONAL"	0	0	2	0	0	0	0	0	0								
"AL"	2012	"Covington"	"RED LEVEL FIRE DEPT."	0	372	2	370	41	326	49	300	349								
"AL"	2012	"Covington"	"RED OAK FD"	0	244	2	242	25	216	25	208	233								
"AL"	2012	"Covington"	"RIVER FALLS CITY HALL"	0	385	2	384	177	203	176	195	371								
"AL"	2012	"Covington"	"ROSE HILL COMMUNITY CTR"	0	327	2	327	45	281	42	280	322								
"AL"	2012	"Covington"	"SANFORD  CITY HALL"	0	429	2	426	31	394	34	385	419								
"AL"	2012	"Covington"	"STRAUGHN (AG BUILDING)"	0	507	2	502	42	458	41	458	499								
"AL"	2012	"Covington"	"UNION GROVE FIRE"	0	287	2	285	35	248	46	231	277								
"AL"	2012	"Covington"	"WING FIRE DEPT."	0	205	2	205	22	181	24	169	193								
"AL"	2012	"Crenshaw"	"ABSENTEE"	0	251	2	250	58	190	62	174	236								
"AL"	2012	"Crenshaw"	"BRANTLEY COMMUNITY CTR."	0	719	2	718	233	482	239	461	700								
"AL"	2012	"Crenshaw"	"BUSHS GROCERY"	0	45	2	45	15	30	16	26	42								
"AL"	2012	"Crenshaw"	"CHAPEL HILL COMMUNITY CTR"	0	324	2	320	44	276	47	270	317								
"AL"	2012	"Crenshaw"	"COUNTY COURTHOUSE"	0	879	2	877	234	635	236	614	850								
"AL"	2012	"Crenshaw"	"DANIELVILLE SCHOOL HOUSE"	0	268	2	268	46	222	45	216	261								
"AL"	2012	"Crenshaw"	"DOZIER CITY HALL"	0	278	2	274	105	167	104	163	267								
"AL"	2012	"Crenshaw"	"GLENWOOD CITY HALL"	0	199	2	197	54	142	57	132	189								
"AL"	2012	"Crenshaw"	"HARBIN FARM CENTER"	0	533	2	531	369	159	354	166	520								
"AL"	2012	"Crenshaw"	"HIGHLAND HOME NEW FIRE"	0	453	2	449	64	384	79	358	437								
"AL"	2012	"Crenshaw"	"LILLERS STORE"	0	206	2	206	28	174	29	164	193								
"AL"	2012	"Crenshaw"	"PANOLA COMMUNITY CTR."	0	298	2	298	107	189	106	184	290								
"AL"	2012	"Crenshaw"	"PATSBURG DEPOT BLDG."	0	176	2	174	6	166	14	155	169								
"AL"	2012	"Crenshaw"	"PETREY COMMUNITY CTR."	0	561	2	561	398	162	386	162	548								
"AL"	2012	"Crenshaw"	"PLEASANT HOME SCHOOL"	0	113	2	113	47	64	50	62	112								
"AL"	2012	"Crenshaw"	"PROVISIONAL"	0	0	2	0	0	0	0	0	0								
"AL"	2012	"Crenshaw"	"RUTLEDGE COMMUNITY CTR."	0	497	2	496	160	336	161	326	487								
"AL"	2012	"Crenshaw"	"VFD HONORAVILLE"	0	265	2	260	37	220	39	217	256								
"AL"	2012	"Crenshaw"	"VIDETTE COMMUNITY CTR."	0	153	2	152	14	137	10	142	152								
"AL"	2012	"Crenshaw"	"WEEDS STORE BRANTLEY"	0	224	2	222	29	191	35	180	215								
"AL"	2012	"Cullman"	"ABSENTEE"	0	1175	4	1266	193	1060	176	1069	1245								
"AL"	2012	"Cullman"	"ARKADELPHIA FIRE DEPT."	0	266	4	263	44	217	41	218	259								
"AL"	2012	"Cullman"	"BAILEYTON TOWN HALL"	0	713	4	702	121	569	120	583	703								
"AL"	2012	"Cullman"	"BALDWIN COMMUNITY CENTER"	0	443	4	439	64	372	63	369	432								
"AL"	2012	"Cullman"	"BATTLEGROUND FIRE DEPT."	0	424	4	417	81	333	86	326	412								
"AL"	2012	"Cullman"	"BEAT 8 COMMUNITY CENTER"	0	190	4	188	23	164	21	163	184								
"AL"	2012	"Cullman"	"BERLIN COMMUNITY CENTER"	0	750	4	743	90	647	105	638	743								
"AL"	2012	"Cullman"	"BETHEL COMMUNITY CENTER"	0	354	4	350	60	287	52	292	344								
"AL"	2012	"Cullman"	"BETHSADIA FIRE DEPT."	0	404	4	401	61	330	51	346	397								
"AL"	2012	"Cullman"	"BOLTE-WHITE GROVE CHURCH"	0	470	4	466	65	396	63	400	463								
"AL"	2012	"Cullman"	"BREMEN FIRE DEPT."	0	671	4	669	55	605	70	577	647								
"AL"	2012	"Cullman"	"BROOKLYN COMMUNITY CTR"	0	404	4	400	74	321	77	321	398								
"AL"	2012	"Cullman"	"BRUSHY POND COMMUNITY CTR"	0	485	4	481	58	418	64	412	476								
"AL"	2012	"Cullman"	"CENTER HILL COMMUNITY CTR"	0	322	4	317	40	270	43	276	319								
"AL"	2012	"Cullman"	"COLD SPRINGS FIRE DEPT."	0	492	4	486	72	409	79	396	475								
"AL"	2012	"Cullman"	"COLONY TOWN HALL"	0	304	4	303	223	77	200	95	295								
"AL"	2012	"Cullman"	"COURT HOUSE CONF ROOM"	0	464	4	456	65	389	80	374	454								
"AL"	2012	"Cullman"	"CRANE HILL FIRE DEPT."	0	914	4	906	129	765	148	755	903								
"AL"	2012	"Cullman"	"CULLMAN CITY HALL"	0	1366	4	1351	206	1129	185	1147	1332								
"AL"	2012	"Cullman"	"CULLMAN CIVIC CENTER"	0	3069	4	3038	454	2551	457	2543	3000								
"AL"	2012	"Cullman"	"CULLMAN CO OFFICE BLDG"	0	1348	4	1338	197	1129	179	1148	1327								
"AL"	2012	"Cullman"	"CULLMAN CO. HEALTH DEPT."	0	414	4	410	46	362	53	350	403								
"AL"	2012	"Cullman"	"DODGE CITY TOWN HALL"	0	586	4	576	66	505	68	499	567								
"AL"	2012	"Cullman"	"EAST POINT COMMUNITY CTR"	0	519	4	518	66	448	61	443	504								
"AL"	2012	"Cullman"	"FAIRVIEW FIRE DEPT. (A-K)"	0	529	4	517	76	435	85	431	516								
"AL"	2012	"Cullman"	"FAIRVIEW TOWN HALL (L-Z)"	0	410	4	409	64	342	63	344	407								
"AL"	2012	"Cullman"	"FRIENDSHIP METHODIST CH."	0	970	4	966	112	845	118	843	961								
"AL"	2012	"Cullman"	"GARDEN CITY TOWN HALL"	0	453	4	450	48	394	50	389	439								
"AL"	2012	"Cullman"	"GOLD RIDGE COMMUNITY CTR"	0	814	4	811	119	685	115	690	805								
"AL"	2012	"Cullman"	"GOOD HOPE TOWN HALL"	0	1180	4	1168	155	1000	155	1005	1160								
"AL"	2012	"Cullman"	"GRANDVIEW COMMUNITY CTR"	0	333	4	331	36	292	39	284	323								
"AL"	2012	"Cullman"	"HANCEVILLE CITY HALL"	0	1193	4	1178	204	954	193	966	1159								
"AL"	2012	"Cullman"	"HOLLY POND FIRE DEPT."	0	1383	4	1378	155	1213	167	1195	1362								
