fips,county,candidate,votes
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,270
02020,Anchorage Municipality,Romney,251
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,3
,Absentee/Early/Question,Johnson,35
,Absentee/Early/Question,Obama,611
,Absentee/Early/Question,Romney,1069
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,9
,Absentee/Early/Question,Johnson,2
,Absentee/Early/Question,Obama,178
,Absentee/Early/Question,Romney,120
,Absentee/Early/Question,Stein,1
,Absentee/Early/Question,Write-In,2
,Absentee/Early/Question,Johnson,10
,Absentee/Early/Question,Obama,253
,Absentee/Early/Question,Romney,232
,Absentee/Early/Question,Stein,8
,Absentee/Early/Question,Write-In,3
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,252
02020,Anchorage Municipality,Romney,217
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,17
02020,Anchorage Municipality,Obama,429
02020,Anchorage Municipality,Romney,363
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,14
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,222
02020,Anchorage Municipality,Romney,287
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,14
02020,Anchorage Municipality,Obama,333
02020,Anchorage Municipality,Romney,351
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,250
02020,Anchorage Municipality,Romney,319
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,7
02020,Anchorage Municipality,Johnson,28
02020,Anchorage Municipality,Obama,498
02020,Anchorage Municipality,Romney,599
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,18
02020,Anchorage Municipality,Obama,297
02020,Anchorage Municipality,Romney,286
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,5
,Absentee/Early/Question,Johnson,30
,Absentee/Early/Question,Obama,573
,Absentee/Early/Question,Romney,652
,Absentee/Early/Question,Stein,10
,Absentee/Early/Question,Write-In,6
,Absentee/Early/Question,Johnson,5
,Absentee/Early/Question,Obama,287
,Absentee/Early/Question,Romney,182
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,4
,Absentee/Early/Question,Johnson,7
,Absentee/Early/Question,Obama,199
,Absentee/Early/Question,Romney,197
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,7
02020,Anchorage Municipality,Johnson,18
02020,Anchorage Municipality,Obama,337
02020,Anchorage Municipality,Romney,317
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,4
02090,Fairbanks North Star Borough,Johnson,11
02090,Fairbanks North Star Borough,Obama,202
02090,Fairbanks North Star Borough,Romney,140
02090,Fairbanks North Star Borough,Stein,5
02090,Fairbanks North Star Borough,Write-In,5
02090,Fairbanks North Star Borough,Johnson,19
02090,Fairbanks North Star Borough,Obama,225
02090,Fairbanks North Star Borough,Romney,219
02090,Fairbanks North Star Borough,Stein,5
02090,Fairbanks North Star Borough,Write-In,3
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,211
02020,Anchorage Municipality,Romney,219
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,2
02020,Anchorage Municipality,Johnson,35
02020,Anchorage Municipality,Obama,567
02020,Anchorage Municipality,Romney,616
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,15
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,269
02020,Anchorage Municipality,Romney,209
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,12
02020,Anchorage Municipality,Obama,213
02020,Anchorage Municipality,Romney,172
02020,Anchorage Municipality,Stein,1
02020,Anchorage Municipality,Write-In,2
,Absentee/Early/Question,Johnson,47
,Absentee/Early/Question,Obama,639
,Absentee/Early/Question,Romney,545
,Absentee/Early/Question,Stein,10
,Absentee/Early/Question,Write-In,10
,Absentee/Early/Question,Johnson,6
,Absentee/Early/Question,Obama,316
,Absentee/Early/Question,Romney,197
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,3
,Absentee/Early/Question,Johnson,18
,Absentee/Early/Question,Obama,304
,Absentee/Early/Question,Romney,241
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,5
02020,Anchorage Municipality,Johnson,4
02020,Anchorage Municipality,Obama,222
02020,Anchorage Municipality,Romney,183
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,170
02020,Anchorage Municipality,Romney,149
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,244
02020,Anchorage Municipality,Romney,198
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,15
02020,Anchorage Municipality,Obama,225
02020,Anchorage Municipality,Romney,205
02020,Anchorage Municipality,Stein,1
02020,Anchorage Municipality,Write-In,7
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,246
02020,Anchorage Municipality,Romney,159
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,448
02020,Anchorage Municipality,Romney,244
02020,Anchorage Municipality,Stein,12
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,7
02020,Anchorage Municipality,Obama,178
02020,Anchorage Municipality,Romney,118
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,4
02020,Anchorage Municipality,Obama,117
02020,Anchorage Municipality,Romney,93
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,5
02020,Anchorage Municipality,Johnson,6
02020,Anchorage Municipality,Obama,195
02020,Anchorage Municipality,Romney,198
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,0
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,399
02020,Anchorage Municipality,Romney,284
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,2
,Absentee/Early/Question,Johnson,20
,Absentee/Early/Question,Obama,670
,Absentee/Early/Question,Romney,472
,Absentee/Early/Question,Stein,14
,Absentee/Early/Question,Write-In,11
,Absentee/Early/Question,Johnson,12
,Absentee/Early/Question,Obama,459
,Absentee/Early/Question,Romney,292
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,5
,Absentee/Early/Question,Johnson,25
,Absentee/Early/Question,Obama,440
,Absentee/Early/Question,Romney,281
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,10
02020,Anchorage Municipality,Johnson,24
02020,Anchorage Municipality,Obama,307
02020,Anchorage Municipality,Romney,158
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,316
02020,Anchorage Municipality,Romney,161
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,17
02020,Anchorage Municipality,Obama,372
02020,Anchorage Municipality,Romney,266
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,7
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,156
02020,Anchorage Municipality,Romney,104
02020,Anchorage Municipality,Stein,1
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,17
02020,Anchorage Municipality,Obama,322
02020,Anchorage Municipality,Romney,230
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,15
02020,Anchorage Municipality,Obama,549
02020,Anchorage Municipality,Romney,282
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,6
,Absentee/Early/Question,Johnson,9
,Absentee/Early/Question,Obama,366
,Absentee/Early/Question,Romney,208
,Absentee/Early/Question,Stein,10
,Absentee/Early/Question,Write-In,6
,Absentee/Early/Question,Johnson,1
,Absentee/Early/Question,Obama,179
,Absentee/Early/Question,Romney,59
,Absentee/Early/Question,Stein,1
,Absentee/Early/Question,Write-In,1
,Absentee/Early/Question,Johnson,7
,Absentee/Early/Question,Obama,286
,Absentee/Early/Question,Romney,74
,Absentee/Early/Question,Stein,1
,Absentee/Early/Question,Write-In,7
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,271
02020,Anchorage Municipality,Romney,190
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,22
02020,Anchorage Municipality,Obama,511
02020,Anchorage Municipality,Romney,309
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,179
02020,Anchorage Municipality,Romney,113
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,0
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,263
02020,Anchorage Municipality,Romney,157
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,2
02020,Anchorage Municipality,Johnson,5
02020,Anchorage Municipality,Obama,96
02020,Anchorage Municipality,Romney,112
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,21
02020,Anchorage Municipality,Obama,348
02020,Anchorage Municipality,Romney,211
02020,Anchorage Municipality,Stein,13
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,366
02020,Anchorage Municipality,Romney,177
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,2
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,236
02020,Anchorage Municipality,Romney,101
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,2
02170,Matanuska-Susitna Borough,Johnson,10
02170,Matanuska-Susitna Borough,Obama,312
02170,Matanuska-Susitna Borough,Romney,155
02170,Matanuska-Susitna Borough,Stein,5
02170,Matanuska-Susitna Borough,Write-In,8
,Absentee/Early/Question,Johnson,34
,Absentee/Early/Question,Obama,954
,Absentee/Early/Question,Romney,525
,Absentee/Early/Question,Stein,18
,Absentee/Early/Question,Write-In,18
,Absentee/Early/Question,Johnson,8
,Absentee/Early/Question,Obama,390
,Absentee/Early/Question,Romney,163
,Absentee/Early/Question,Stein,7
,Absentee/Early/Question,Write-In,1
,Absentee/Early/Question,Johnson,14
,Absentee/Early/Question,Obama,321
,Absentee/Early/Question,Romney,156
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,7
02020,Anchorage Municipality,Johnson,23
02020,Anchorage Municipality,Obama,558
02020,Anchorage Municipality,Romney,383
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,7
02020,Anchorage Municipality,Johnson,19
02020,Anchorage Municipality,Obama,317
02020,Anchorage Municipality,Romney,419
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,5
02020,Anchorage Municipality,Johnson,15
02020,Anchorage Municipality,Obama,288
02020,Anchorage Municipality,Romney,367
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,14
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,257
02020,Anchorage Municipality,Romney,261
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,7
02020,Anchorage Municipality,Johnson,15
02020,Anchorage Municipality,Obama,313
02020,Anchorage Municipality,Romney,326
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,2
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,455
02020,Anchorage Municipality,Romney,396
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,252
02020,Anchorage Municipality,Romney,186
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,20
02020,Anchorage Municipality,Obama,432
02020,Anchorage Municipality,Romney,381
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,9
,Absentee/Early/Question,Johnson,26
,Absentee/Early/Question,Obama,660
,Absentee/Early/Question,Romney,705
,Absentee/Early/Question,Stein,11
,Absentee/Early/Question,Write-In,7
,Absentee/Early/Question,Johnson,5
,Absentee/Early/Question,Obama,415
,Absentee/Early/Question,Romney,263
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,1
,Absentee/Early/Question,Johnson,19
,Absentee/Early/Question,Obama,179
,Absentee/Early/Question,Romney,168
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,6
02020,Anchorage Municipality,Johnson,20
02020,Anchorage Municipality,Obama,332
02020,Anchorage Municipality,Romney,551
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,21
02020,Anchorage Municipality,Obama,424
02020,Anchorage Municipality,Romney,836
02020,Anchorage Municipality,Stein,13
02020,Anchorage Municipality,Write-In,18
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,277
02020,Anchorage Municipality,Romney,326
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,10
02020,Anchorage Municipality,Johnson,14
02020,Anchorage Municipality,Obama,263
02020,Anchorage Municipality,Romney,368
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,9
02020,Anchorage Municipality,Johnson,40
02020,Anchorage Municipality,Obama,427
02020,Anchorage Municipality,Romney,585
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,14
02020,Anchorage Municipality,Johnson,20
02020,Anchorage Municipality,Obama,303
02020,Anchorage Municipality,Romney,457
02020,Anchorage Municipality,Stein,13
02020,Anchorage Municipality,Write-In,12
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,147
02020,Anchorage Municipality,Romney,192
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,2
,Absentee/Early/Question,Johnson,25
,Absentee/Early/Question,Obama,462
,Absentee/Early/Question,Romney,732
,Absentee/Early/Question,Stein,7
,Absentee/Early/Question,Write-In,7
,Absentee/Early/Question,Johnson,9
,Absentee/Early/Question,Obama,269
,Absentee/Early/Question,Romney,304
,Absentee/Early/Question,Stein,2
,Absentee/Early/Question,Write-In,5
,Absentee/Early/Question,Johnson,11
,Absentee/Early/Question,Obama,177
,Absentee/Early/Question,Romney,193
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,4
02020,Anchorage Municipality,Johnson,24
02020,Anchorage Municipality,Obama,319
02020,Anchorage Municipality,Romney,501
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,13
02020,Anchorage Municipality,Johnson,6
02020,Anchorage Municipality,Obama,245
02020,Anchorage Municipality,Romney,386
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,9
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,327
02020,Anchorage Municipality,Romney,629
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,12
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,296
02020,Anchorage Municipality,Romney,478
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,22
02020,Anchorage Municipality,Obama,263
02020,Anchorage Municipality,Romney,395
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,21
02020,Anchorage Municipality,Obama,381
02020,Anchorage Municipality,Romney,613
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,21
02020,Anchorage Municipality,Obama,460
02020,Anchorage Municipality,Romney,769
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,6
,Absentee/Early/Question,Johnson,19
,Absentee/Early/Question,Obama,541
,Absentee/Early/Question,Romney,791
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,12
,Absentee/Early/Question,Johnson,10
,Absentee/Early/Question,Obama,333
,Absentee/Early/Question,Romney,471
,Absentee/Early/Question,Stein,6
,Absentee/Early/Question,Write-In,6
,Absentee/Early/Question,Johnson,9
,Absentee/Early/Question,Obama,151
,Absentee/Early/Question,Romney,229
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,6
02020,Anchorage Municipality,Johnson,12
02020,Anchorage Municipality,Obama,184
02020,Anchorage Municipality,Romney,201
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,12
02020,Anchorage Municipality,Obama,308
02020,Anchorage Municipality,Romney,326
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,2
02020,Anchorage Municipality,Johnson,9
02020,Anchorage Municipality,Obama,128
02020,Anchorage Municipality,Romney,166
02020,Anchorage Municipality,Stein,0
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,22
02020,Anchorage Municipality,Obama,297
02020,Anchorage Municipality,Romney,393
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,14
02020,Anchorage Municipality,Obama,271
02020,Anchorage Municipality,Romney,350
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,9
02020,Anchorage Municipality,Obama,236
02020,Anchorage Municipality,Romney,240
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,327
02020,Anchorage Municipality,Romney,430
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,237
02020,Anchorage Municipality,Romney,299
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,5
,Absentee/Early/Question,Johnson,28
,Absentee/Early/Question,Obama,424
,Absentee/Early/Question,Romney,605
,Absentee/Early/Question,Stein,11
,Absentee/Early/Question,Write-In,10
,Absentee/Early/Question,Johnson,5
,Absentee/Early/Question,Obama,267
,Absentee/Early/Question,Romney,236
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,2
,Absentee/Early/Question,Johnson,8
,Absentee/Early/Question,Obama,180
,Absentee/Early/Question,Romney,199
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,4
02020,Anchorage Municipality,Johnson,15
02020,Anchorage Municipality,Obama,387
02020,Anchorage Municipality,Romney,488
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,249
02020,Anchorage Municipality,Romney,459
02020,Anchorage Municipality,Stein,10
02020,Anchorage Municipality,Write-In,0
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,162
02020,Anchorage Municipality,Romney,454
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,19
02020,Anchorage Municipality,Obama,314
02020,Anchorage Municipality,Romney,620
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,7
02020,Anchorage Municipality,Johnson,28
02020,Anchorage Municipality,Obama,411
02020,Anchorage Municipality,Romney,609
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,9
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,297
02020,Anchorage Municipality,Romney,341
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,12
02020,Anchorage Municipality,Johnson,7
02020,Anchorage Municipality,Obama,153
02020,Anchorage Municipality,Romney,252
02020,Anchorage Municipality,Stein,1
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,143
02020,Anchorage Municipality,Romney,173
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,2
,Absentee/Early/Question,Johnson,28
,Absentee/Early/Question,Obama,524
,Absentee/Early/Question,Romney,803
,Absentee/Early/Question,Stein,11
,Absentee/Early/Question,Write-In,14
,Absentee/Early/Question,Johnson,9
,Absentee/Early/Question,Obama,344
,Absentee/Early/Question,Romney,470
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,2
,Absentee/Early/Question,Johnson,4
,Absentee/Early/Question,Obama,183
,Absentee/Early/Question,Romney,257
,Absentee/Early/Question,Stein,6
,Absentee/Early/Question,Write-In,6
02020,Anchorage Municipality,Johnson,7
02020,Anchorage Municipality,Obama,105
02020,Anchorage Municipality,Romney,95
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,29
02020,Anchorage Municipality,Obama,436
02020,Anchorage Municipality,Romney,637
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,15
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,399
02020,Anchorage Municipality,Romney,502
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,20
02020,Anchorage Municipality,Obama,334
02020,Anchorage Municipality,Romney,503
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,1
02020,Anchorage Municipality,Johnson,24
02020,Anchorage Municipality,Obama,295
02020,Anchorage Municipality,Romney,395
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,244
02020,Anchorage Municipality,Romney,323
02020,Anchorage Municipality,Stein,0
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,343
02020,Anchorage Municipality,Romney,424
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,7
,Absentee/Early/Question,Johnson,18
,Absentee/Early/Question,Obama,429
,Absentee/Early/Question,Romney,502
,Absentee/Early/Question,Stein,6
,Absentee/Early/Question,Write-In,8
,Absentee/Early/Question,Johnson,3
,Absentee/Early/Question,Obama,331
,Absentee/Early/Question,Romney,317
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,0
,Absentee/Early/Question,Johnson,7
,Absentee/Early/Question,Obama,212
,Absentee/Early/Question,Romney,214
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,4
02020,Anchorage Municipality,Johnson,24
02020,Anchorage Municipality,Obama,436
02020,Anchorage Municipality,Romney,660
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,11
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,210
02020,Anchorage Municipality,Romney,333
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,32
02020,Anchorage Municipality,Obama,359
02020,Anchorage Municipality,Romney,461
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,14
02020,Anchorage Municipality,Johnson,10
02020,Anchorage Municipality,Obama,234
02020,Anchorage Municipality,Romney,281
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,22
02020,Anchorage Municipality,Obama,373
02020,Anchorage Municipality,Romney,400
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,17
02020,Anchorage Municipality,Johnson,8
02020,Anchorage Municipality,Obama,275
02020,Anchorage Municipality,Romney,438
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,6
02020,Anchorage Municipality,Johnson,35
02020,Anchorage Municipality,Obama,547
02020,Anchorage Municipality,Romney,563
02020,Anchorage Municipality,Stein,12
02020,Anchorage Municipality,Write-In,11
02020,Anchorage Municipality,Johnson,4
02020,Anchorage Municipality,Obama,105
02020,Anchorage Municipality,Romney,105
02020,Anchorage Municipality,Stein,0
02020,Anchorage Municipality,Write-In,1
,Absentee/Early/Question,Johnson,36
,Absentee/Early/Question,Obama,647
,Absentee/Early/Question,Romney,817
,Absentee/Early/Question,Stein,8
,Absentee/Early/Question,Write-In,5
,Absentee/Early/Question,Johnson,8
,Absentee/Early/Question,Obama,365
,Absentee/Early/Question,Romney,319
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,3
,Absentee/Early/Question,Johnson,10
,Absentee/Early/Question,Obama,188
,Absentee/Early/Question,Romney,192
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,5
02020,Anchorage Municipality,Johnson,27
02020,Anchorage Municipality,Obama,202
02020,Anchorage Municipality,Romney,542
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,11
02020,Anchorage Municipality,Johnson,20
02020,Anchorage Municipality,Obama,238
02020,Anchorage Municipality,Romney,526
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,11
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,272
02020,Anchorage Municipality,Romney,637
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,7
02020,Anchorage Municipality,Obama,137
02020,Anchorage Municipality,Romney,322
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,25
02020,Anchorage Municipality,Obama,347
02020,Anchorage Municipality,Romney,757
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,14
02020,Anchorage Municipality,Johnson,37
02020,Anchorage Municipality,Obama,485
02020,Anchorage Municipality,Romney,918
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,11
02020,Anchorage Municipality,Johnson,26
02020,Anchorage Municipality,Obama,267
02020,Anchorage Municipality,Romney,696
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,5
,Absentee/Early/Question,Johnson,50
,Absentee/Early/Question,Obama,950
,Absentee/Early/Question,Romney,2076
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,19
,Absentee/Early/Question,Johnson,3
,Absentee/Early/Question,Obama,167
,Absentee/Early/Question,Romney,240
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,3
,Absentee/Early/Question,Johnson,6
,Absentee/Early/Question,Obama,104
,Absentee/Early/Question,Romney,254
,Absentee/Early/Question,Stein,2
,Absentee/Early/Question,Write-In,5
02020,Anchorage Municipality,Johnson,13
02020,Anchorage Municipality,Obama,295
02020,Anchorage Municipality,Romney,567
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,11
02020,Anchorage Municipality,Obama,370
02020,Anchorage Municipality,Romney,604
02020,Anchorage Municipality,Stein,8
02020,Anchorage Municipality,Write-In,9
02020,Anchorage Municipality,Johnson,14
02020,Anchorage Municipality,Obama,250
02020,Anchorage Municipality,Romney,542
02020,Anchorage Municipality,Stein,5
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,17
02020,Anchorage Municipality,Obama,318
02020,Anchorage Municipality,Romney,531
02020,Anchorage Municipality,Stein,5
